key,연도,실제예산,시뮬예산,위험지수,Y,Y_bin,시도,시군구,diff
전북특별자치도완주군,2018,0.0,157565690.91493866,-0.4026479749962381,0.0,0,전북특별자치도,완주군,157565690.91493866
전북특별자치도익산시,2018,44952000.0,117843009.8780301,-0.4844561277716853,9.999500033330834e-05,1,전북특별자치도,익산시,72891009.8780301
전북특별자치도임실군,2018,249478500.0,180092689.53137028,-0.2140442913212522,0.0121261797978405,1,전북특별자치도,임실군,-69385810.46862972
전북특별자치도장수군,2018,0.0,153530724.38597414,-0.4364300852465089,0.0,0,전북특별자치도,장수군,153530724.38597414
전북특별자치도전주시,2018,20000000.0,75881386.39430556,-1.0374783301495614,0.0,0,전북특별자치도,전주시,55881386.39430556
전북특별자치도정읍시,2018,175692580.0,206408693.88093254,0.0062822352811015,0.0003999200213269,1,전북특별자치도,정읍시,30716113.88093254
전북특별자치도진안군,2018,0.0,119681329.83499466,-0.6928322962809593,0.0,0,전북특별자치도,진안군,119681329.83499466
충청남도계룡시,2018,16083000.0,183010581.57983854,-0.1896147080342159,0.0,0,충청남도,계룡시,166927581.57983854
충청남도금산군,2018,15345000.0,146191436.96299118,-0.4978770923286864,9.999500033330834e-05,1,충청남도,금산군,130846436.96299118
충청남도논산시,2018,195436000.0,130416917.34372213,-0.6299467283709846,9.999500033330834e-05,1,충청남도,논산시,-65019082.656277865
충청남도당진시,2018,0.0,131076264.21735105,-0.6244264523988768,0.0,0,충청남도,당진시,131076264.21735105
충청남도보령시,2018,85623255.0,204184761.9143944,-0.0123372784976092,0.000499875041651,1,충청남도,보령시,118561506.91439441
충청남도부여군,2018,467983000.0,152550786.58357078,-0.4446344573625008,0.0,0,충청남도,부여군,-315432213.4164292
충청남도서산시,2018,96490000.0,192610707.93236867,-0.1092391895436262,0.0,0,충청남도,서산시,96120707.93236867
충청남도서천군,2018,27532000.0,210545784.3606972,0.1164469301148242,0.0003999200213269,1,충청남도,서천군,183013784.3606972
충청남도아산시,2018,0.0,89026997.77039786,-0.9764771930573152,0.0,0,충청남도,아산시,89026997.77039786
충청남도예산군,2018,290653000.0,148456526.79092672,-0.4789129909551561,9.999500033330834e-05,1,충청남도,예산군,-142196473.20907328
충청남도천안시,2018,77883000.0,64957850.52246219,-1.230878826453186,0.0,0,충청남도,천안시,-12925149.47753781
충청남도청양군,2018,683095000.0,191883925.3871243,-0.1153240598629142,0.0007996801705643,1,충청남도,청양군,-491211074.6128757
충청남도태안군,2018,0.0,223013715.42512375,0.145305115517468,0.0,0,충청남도,태안군,223013715.42512375
충청남도홍성군,2018,30205000.0,199622346.1294063,-0.0505353730665859,0.0,0,충청남도,홍성군,169417346.1294063
충청북도괴산군,2018,0.0,188510635.400038,-0.1435663893672252,0.0,0,충청북도,괴산군,188510635.400038
충청북도단양군,2018,42785000.0,235381336.92463818,0.2488510433538086,9.999500033330834e-05,1,충청북도,단양군,192596336.92463818
충청북도보은군,2018,0.0,160442341.79063272,-0.3785636768151647,0.0,0,충청북도,보은군,160442341.79063272
충청북도영동군,2018,10877000.0,116917392.48778398,-0.7429693355564281,9.999500033330834e-05,1,충청북도,영동군,106040392.48778398
충청북도옥천군,2018,0.0,98957048.79088737,-0.8933394331881956,0.0,0,충청북도,옥천군,98957048.79088737
충청북도음성군,2018,0.0,131504077.46548064,-0.620844654579466,0.0,0,충청북도,음성군,131504077.46548064
충청북도제천시,2018,0.0,165324711.65235215,-0.3376868180439145,9.999500033330834e-05,1,충청북도,제천시,165324711.65235215
충청북도증평군,2018,0.0,155369968.0706795,-0.4210313124220473,0.0,0,충청북도,증평군,155369968.0706795
충청북도진천군,2018,43274000.0,87446510.44483487,-0.9897095697568626,0.0,0,충청북도,진천군,44172510.44483487
충청북도청주시,2018,83013000.0,148302559.51202634,-0.4802020573088447,9.999500033330834e-05,1,충청북도,청주시,65289559.51202634
충청북도충주시,2018,0.0,124532743.07728326,-0.6792110338797729,0.0,0,충청북도,충주시,124532743.07728326
강원특별자치도강릉시,2019,0.0,327601798.31575805,0.6674936720487841,0.0,0,강원특별자치도,강릉시,327601798.31575805
강원특별자치도고성군,2019,0.0,240641052.86239052,-0.1353102538279108,0.0,0,강원특별자치도,고성군,240641052.86239052
강원특별자치도동해시,2019,0.0,318125552.7094748,0.4337238085479869,0.0,0,강원특별자치도,동해시,318125552.7094748
강원특별자치도삼척시,2019,0.0,328865565.76400167,0.343112469728221,0.0,0,강원특별자치도,삼척시,328865565.76400167
강원특별자치도속초시,2019,0.0,286128233.15994316,0.1113570268303941,0.0,0,강원특별자치도,속초시,286128233.15994316
강원특별자치도양구군,2019,0.0,184221098.63152602,-0.4412636366042472,0.0,0,강원특별자치도,양구군,184221098.63152602
강원특별자치도양양군,2019,0.0,392151176.1832066,0.7020255330889934,0.0,0,강원특별자치도,양양군,392151176.1832066
강원특별자치도영월군,2019,237900000.0,278113268.3401093,0.0678935814431943,0.0,0,강원특별자치도,영월군,40213268.34010929
강원특별자치도원주시,2019,10000000.0,150076573.06538057,-0.6264221189650943,0.001598721363697,1,강원특별자치도,원주시,140076573.06538057
