연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,위험지수
2020,경상북도,김천시,0.0071742037480003,1,-0.10404908019929153,-0.9794320790980248,0.6912197662605591,-0.5610092983934927,-0.23831767285756247,-0.5481634858969363
2021,경상북도,김천시,0.0220549907808313,1,-0.10404908019929153,-1.0853130671055835,0.6619774963281565,-0.5586729514247233,-0.2715144006003605,-0.5826783662431995
2022,경상북도,김천시,0.0130149370774946,1,-0.10404908019929153,-1.0882268160460902,0.7039822447798998,-0.5364519181570254,-0.2561863924056268,-0.5762426048008024
2023,경상북도,김천시,0.025472795973031,1,-0.10404908019929153,-1.0472698626378463,0.7311373456691727,-0.5245573359935162,-0.23618473329037032,-0.5586254262768846
2016,경상북도,문경시,9.999500033330834e-05,1,0.38938453583463983,-0.8678276272472554,-2.646277011980543,-0.9820737090936061,-1.0266984531216912,-0.4868389335020739
2017,경상북도,문경시,0.0,0,0.39369279581485467,0.33872896381676304,-0.22773598057603342,-0.9614540056785981,-0.11419205665575344,-0.07634408201566012
2018,경상북도,문경시,0.0,0,0.39910795898820767,-0.496561499755624,0.1146776179718564,-0.9514836437185201,-0.23356489162852,-0.34964572816197886
2019,경상북도,문경시,0.0,0,0.39910795898820767,-0.5221905628948289,0.662093116707863,-0.9467791146242366,-0.10194215045574873,-0.3566205728436193
2020,경상북도,문경시,0.0,0,0.4246839485367908,-0.4778387163721096,0.6912197662605591,-0.9054980260055436,-0.06685825689507582,-0.3195509312802875
2021,경상북도,문경시,0.0,0,0.4246839485367908,-0.3687933358008172,0.6619774963281565,-0.8969322249717373,-0.044766028976901795,-0.2803472040785879
2022,경상북도,문경시,9.999500033330834e-05,1,0.4246839485367908,-0.6671043763858169,0.7039822447798998,-0.8879223945305417,-0.10659014439991699,-0.37678094079318925
2023,경상북도,문경시,9.999500033330834e-05,1,0.4246839485367908,-0.14149175926079244,0.7311373456691727,-0.8665280594377618,0.036950368876852324,-0.19444529005392117
2016,경상북도,봉화군,9.999500033330834e-05,1,2.233488131453298,-1.7145319327155546,-2.4833593343306957,0.11745407165112941,-0.4617372659854557,0.21213675679629093
2017,경상북도,봉화군,0.0,0,2.2387669466671642,-1.7133977875657727,-0.12259448653729546,0.012160113611719134,0.10373369654395383,0.17917642423770355
2018,경상북도,봉화군,0.0,0,2.241144782859376,-1.5853650050135677,-0.17482036218189145,0.018055612886767235,0.12475375713767096,0.22461179691085845
2019,경상북도,봉화군,0.0,0,2.241144782859376,-1.4675762249250548,-2.0649226370251994,-0.005201571806087754,-0.32413891272424156,0.2561223287094111
2020,경상북도,봉화군,0.0,0,2.2673174454040734,-2.0695924671882397,-1.8317633836789373,0.04825136407036422,-0.3964467603481849,0.0819921140953993
2021,경상북도,봉화군,0.0,0,2.2673174454040734,-2.1404621129382284,-1.9546814299308988,0.067120655337608,-0.44017636053186143,0.06465866260115101
2022,경상북도,봉화군,0.0,0,2.2673174454040734,-1.5168302574960837,-1.8462107586077035,0.08700730959526046,-0.25217906527611333,0.2791648325010834
2023,경상북도,봉화군,0.0,0,2.2673174454040734,-1.1861911588278449,-1.8815340449039069,0.06440100796333144,-0.1840016875910867,0.3818424315131867
2016,경상북도,상주시,0.0201947072855192,1,0.13290791862710588,0.009904261635119427,-1.373070342141328,-0.5590329678557027,-0.4473227824337013,-0.13874026253115912
2017,경상북도,상주시,0.0105442138756711,1,0.1370811944753385,0.0452723766666691,-0.19128541598469836,-0.5883444687326279,-0.14931907839382966,-0.13533029919687342
2018,경상북도,상주시,0.0029955089797984,1,0.1429187869261611,-0.04863073077201201,0.6578713880181923,-0.5724929785234334,0.04491661641222702,-0.15940164078976143
2019,경상북도,상주시,0.0030952049073024,1,0.1429187869261611,-0.25344321236987244,0.662093116707863,-0.6252181678677303,-0.01841236915089467,-0.2452475311038139
2020,경상북도,상주시,0.0036931718376175,1,0.17283042012620128,-0.2574428038088438,0.6912197662605591,-0.6066623753682201,-1.3748197575880194e-05,-0.2304249196836209
2021,경상북도,상주시,0.0094551587707551,1,0.17283042012620128,-0.25261044487019935,0.6619774963281565,-0.5997543061217819,-0.004389208634405867,-0.22651144362192666
2022,경상북도,상주시,0.0093560949240249,1,0.17283042012620128,-0.3636358019754205,0.7039822447798998,-0.5933727279710118,-0.020048966260082818,-0.26139270327341035
2023,경상북도,상주시,0.0152826235311569,1,0.17283042012620128,-0.06735662849349788,0.7311373456691727,-0.5717558474301008,0.06621382246794383,-0.1554273519324658
2016,경상북도,성주군,0.1578580846155803,1,0.6783374994205176,0.025083944213360757,-1.373070342141328,0.0295681371239964,-0.1600201903458633,0.24432986025262493
2017,경상북도,성주군,0.062880898039201,1,0.6827978358956504,-0.5425758157643281,-2.143961148641062,-0.03484881707736629,-0.5096469863967766,0.035124401017985314
2018,경상북도,성주군,0.0386436235922044,1,0.6877370796929633,0.15256626356560057,0.6578713880181923,-0.0038355986413245325,0.3735847831588579,0.27882258153907974
2019,경상북도,성주군,0.0591176044830888,1,0.6877370796929633,0.19691924863444493,-1.194739501530758,-0.10821665495417082,-0.10457495703938015,0.25881322445774585
2020,경상북도,성주군,0.0485044090596149,1,0.7156860766236248,-0.08620697144358963,-0.9788107206822421,-0.10827657672926322,-0.11440204805786751,0.17373417615025732
2021,경상북도,성주군,0.0429636994321156,1,0.7156860766236248,-0.19564836865792645,-1.2144108785381271,-0.1300356861468405,-0.2061022141798173,0.1300006739396193
2022,경상북도,성주군,0.0773313429363234,1,0.7156860766236248,-0.290156377904599,-1.1240253952832302,-0.2175251725466909,-0.22900521727772383,0.06933484205744496
2023,경상북도,성주군,0.1215094173971972,1,0.7156860766236248,0.2803222161261141,-1.145251029197111,-0.1960262529129796,-0.08631724734008792,0.26666067994558645
2016,경상북도,안동시,0.4878435473740665,1,2.062591645978951,-0.6514368670052696,0.3848114650468531,-0.0008610766384426378,0.4487762918455229,0.4700979007784129
2017,경상북도,안동시,0.3741120304501421,1,2.0677805180471154,-0.2696092278997623,-0.2730225006116842,-0.08111282668728001,0.3610089907120972,0.5723528211533576
2018,경상북도,안동시,0.1875578235892009,1,2.0704398289393096,-0.8895589614172876,-0.29158076935894295,-0.19442288636677166,0.17371930294907684,0.3288193270517501
