연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,취약성지수_동일가중,취약성지수_실증가중
2016,경상남도,하동군,0.3072640871795032,1,1.0348691500210694,0.5254446547241967,-0.5731483982344953,0.8061784396036138,0.4483359615285961,0.5299280023933257
2017,경상남도,하동군,0.0716692866903596,1,1.0394922654467322,0.10971192196768666,0.04515537845562738,0.8372736239794595,0.5079082974623764,0.6977692479588415
2018,경상남도,하동군,0.1312036856153444,1,1.0438381284850586,0.5273058348779789,-0.33079715541837384,0.8544269579025816,0.5236934414618113,0.6145048640052214
2019,경상남도,하동군,0.0948555310126788,1,1.0438381284850586,0.9893473045262997,-0.3692542573238904,0.9755965227519214,0.6598819246098473,0.6602793836074964
2020,경상남도,하동군,0.1310282624064041,1,0.9769863552931085,0.4412695584668611,-1.978288698117221,0.998650429912097,0.10965441138871143,0.24533910716082757
2021,경상남도,하동군,0.107148915517043,1,0.9769863552931085,0.5779598921740225,-0.3431706098531714,1.0083056199787157,0.5550203143981689,0.6589733926813369
2022,경상남도,하동군,0.1176052420742634,1,0.9769863552931085,-0.06523712413850186,-0.4259075202149938,0.6891504200760923,0.2937480327539263,0.4949323869601512
2023,경상남도,하동군,0.240354588044564,1,0.9788851696411663,0.8964517980269189,-0.40516494371306044,0.7250528341011715,0.5488062145140491,0.5207529863454496
2016,경상남도,함안군,0.3512200932557686,1,0.8787520469508356,0.1903673213008659,0.38376925236808673,0.09233083721118521,0.38630486445774337,0.4057253913097194
2017,경상남도,함안군,0.151088854362856,1,0.883288453184051,0.8843335494356418,-0.23305679244752295,0.12641998884438244,0.41524629975413807,0.27097809165597864
2018,경상남도,함안군,0.174793290373163,1,0.8878823721690677,0.49311915899940567,-0.3189492781560763,0.1534868989220841,0.3038847879836203,0.2610961302504525
2019,경상남도,함안군,0.1016536537264998,1,0.8878823721690677,0.6688218568390316,-0.35142656495740043,0.23879735365231475,0.36101875442575343,0.2913128756335982
2020,경상남도,함안군,0.0650383961792222,1,0.9119779364724044,0.5085194288073808,-0.3213812836424365,0.28182578214155946,0.34523546594472704,0.32441689705287846
2021,경상남도,함안군,0.1046302490780829,1,0.9119779364724044,0.11139503335526882,-0.31050871506211264,0.2977756466791019,0.25265997536116563,0.332402990234688
2022,경상남도,함안군,0.2035936920694943,1,0.9119779364724044,-0.3187269227143274,-0.39820381315358155,0.32000214308598435,0.12876233592261999,0.31836482715146297
2023,경상남도,함안군,0.2760395606677065,1,0.9141815416363064,0.4156782139991662,-0.36485666970972686,0.35590092172406346,0.33022600191245227,0.3464239714101023
2016,경상남도,함양군,0.0006997551142733,1,0.7875020583520026,0.20144097068185457,0.38376925236808673,5.102203924614579e-05,0.34319082586029753,0.337286521382474
2017,경상남도,함양군,0.0,0,0.7919877833166917,-0.7058595846959085,0.7113485554179262,-0.06061105625346716,0.18421642444631056,0.38983491015695737
2018,경상남도,함양군,0.0002999550089979,1,0.7967266902745969,0.748226386852213,0.6598233988354024,-0.1421469785739618,0.5156573743470626,0.34892598730943664
2019,경상남도,함양군,0.0001999800026662,1,0.7967266902745969,0.8111531400587859,-0.0881744411185543,-0.08163247588969941,0.3595182283312823,0.18884740841901684
2020,경상남도,함양군,0.0001999800026662,1,0.7978886364183388,0.3671643550606001,-0.14928698676869417,-0.10705107450548379,0.22717873255119025,0.16077153462147198
2021,경상남도,함양군,0.0003999200213269,1,0.7978886364183388,0.04426970977556105,-0.16912070912685556,-0.17037044640069,0.1256667976665886,0.12650887748929257
2022,경상남도,함양군,0.0,0,0.7978886364183388,-0.48077406625837377,0.006014096578529887,-0.14536576330612422,0.04444072585809268,0.178982022763967
2023,경상남도,함양군,0.000499875041651,1,0.8006271472371294,0.05215226131713075,0.03137728293663354,-0.13436668692203269,0.18744750114221526,0.1933557702004788
2016,경상남도,합천군,0.0020977980821461,1,2.089594318331497,0.8050217858097916,0.38376925236808673,1.1753650466840573,1.1134376007983582,1.2549529428564443
2017,경상남도,합천군,0.0003999200213269,1,2.0948032399616032,0.4546140733793067,-0.06129386755000707,1.2061841462602165,0.9235768980127799,1.1572983444800473
2018,경상남도,합천군,0.00129915573162,1,2.097473240170181,0.2298486609984084,-0.16064160629124674,1.2218885554761774,0.8471422125883801,1.1391978852280378
2019,경상남도,합천군,0.0006997551142733,1,2.097473240170181,0.9566105432969869,-0.1431352532335839,0.8041789242753463,0.9287818636272326,0.9628787993562691
2020,경상남도,합천군,0.0018981972830802,1,2.067774636862848,0.3812962111370957,-1.7690213301655868,0.6970884811445177,0.3442844997447186,0.49764947938246135
2021,경상남도,합천군,9.999500033330834e-05,1,2.067774636862848,0.37925051324035436,-0.08033460759996547,0.7113412915235774,0.7695079585067035,0.9260872489534167
