시군구코드,피해고사목수_전체,감염목수_전체,관측관리주기수,피해고사목수_최근3,소나무류면적_ha,산림면적_ha,소나무류비율,시도명,시군구명,피해밀도_전체,피해밀도_최근3
47920,61,61,7,54,43539.8,96782.5,45.0,경북,봉화군,0.1,0.1
47930,2,1,4,1,40590.0,84204.2,48.2,경북,울진군,0.0,0.0
48121,46716,22603,6,3280,2771.0,7255.5,38.2,경남,창원시 의창구,1685.9,118.4
48123,3615,2314,6,1370,1458.4,5036.3,29.0,경남,창원시 성산구,247.9,93.9
48125,21807,11368,6,5291,8124.7,17321.2,46.9,경남,창원시 마산합포구,268.4,65.1
48127,5677,3330,6,1355,2858.1,7069.3,40.4,경남,창원시 마산회원구,198.6,47.4
48129,3249,1815,7,918,2135.3,8019.4,26.6,경남,창원시 진해구,152.2,43.0
48170,42440,41148,7,17840,21605.0,42142.6,51.3,경남,진주시,196.4,82.6
48220,15676,15573,7,6444,8922.3,15602.1,57.2,경남,통영시,175.7,72.2
48240,56389,90238,7,14820,12017.6,22573.6,53.2,경남,사천시,469.2,123.3
48250,43036,59347,7,9806,7335.4,21186.8,34.6,경남,김해시,586.7,133.7
48270,127641,180231,7,51256,19738.8,50846.3,38.8,경남,밀양시,646.7,259.7
48310,56078,70941,7,14720,11692.8,26782.3,43.7,경남,거제시,479.6,125.9
48330,37667,23887,7,14782,7410.5,34984.0,21.2,경남,양산시,508.3,199.5
48720,16692,14898,7,5961,16481.7,35007.7,47.1,경남,의령군,101.3,36.2
48730,35918,35841,6,13969,9426.0,22236.0,42.4,경남,함안군,381.1,148.2
48740,66842,14035,7,11253,15716.5,27591.4,57.0,경남,창녕군,425.3,71.6
48820,9823,11570,7,5117,16807.4,33517.1,50.1,경남,고성군,58.4,30.4
48840,3307,2602,7,364,10144.3,22879.1,44.3,경남,남해군,32.6,3.6
48850,69916,66827,7,39199,14843.1,48463.1,30.6,경남,하동군,471.0,264.1
48860,162,172,7,34,19401.5,61638.4,31.5,경남,산청군,0.8,0.2
48870,83,69,7,31,14693.2,55746.8,26.4,경남,함양군,0.6,0.2
48880,21,59,7,5,20404.2,60087.1,34.0,경남,거창군,0.1,0.0
48890,454,271,7,33,32570.1,72223.1,45.1,경남,합천군,1.4,0.1
50110,386404,400141,7,49690,9154.8,44677.8,20.5,제주,제주시,4220.8,542.8
50130,202808,202855,7,37012,5782.2,42184.2,13.7,제주,서귀포시,3507.5,640.1
51110,48477,30327,7,33254,,,,강원특별자치도,춘천시,,
51130,1827,1553,7,1417,,,,강원특별자치도,원주시,,
51150,0,0,1,,,,,강원특별자치도,강릉시,,
51170,39,38,2,39,,,,강원특별자치도,동해시,,
51230,9,9,2,9,,,,강원특별자치도,삼척시,,
51720,3582,3247,7,1717,,,,강원특별자치도,홍천군,,
51730,706,706,7,630,,,,강원특별자치도,횡성군,,
51760,0,0,2,,,,,강원특별자치도,평창군,,
51770,275,275,7,80,,,,강원특별자치도,정선군,,
51780,4,3,5,4,,,,강원특별자치도,철원군,,
51790,5,5,4,5,,,,강원특별자치도,화천군,,
51800,0,0,3,,,,,강원특별자치도,양구군,,
51810,6,6,6,0,,,,강원특별자치도,인제군,,
51830,1,1,1,,,,,강원특별자치도,양양군,,
