연도,시도,시군구,log_피해밀도_본per_ha,Y_bin,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,위험지수,연속발생연수_L1,집단발생여부_L1,log_인접시군_피해밀도_본per_ha_L1,key,구조적취약성지수_gm,연속발생연수_L1_gm,집단발생여부_L1_gm,log_인접시군_피해밀도_본per_ha_L1_gm,Model2_예측확률,_decile
2023,경기도,연천군,0.0066776547532405,1,-1.2428310750955034,-0.2371722677826537,-0.4965594622748682,-0.6928344756454086,-0.6673493201996085,-0.7242792728411885,7.0,0.0,0.0215657779145605,경기도연천군,-0.6160684396302398,5.5,0.5,0.015140500927725451,0.9991171678728044,8
2017,경기도,오산시,0.0,0,-0.9222708120979776,0.6386258965657722,0.711348555417926,-0.8495571624199656,-0.1054633806335612,-0.377734025984057,0.0,0.0,0.0034938892542557,경기도오산시,-0.24711194201971617,0.0,0.0,0.0013698415619222155,0.047310586862682504,1
2018,경기도,오산시,0.0,0,-0.9148096153790352,-0.0701306999415991,0.6598233988354029,-0.8190334779996505,-0.2860375986212205,-0.6013245977734284,0.0,0.0,0.0010993954433009,경기도오산시,-0.24711194201971617,0.0,0.0,0.0013698415619222155,0.06262948905270517,2
2019,경기도,오산시,0.0,0,-0.9148096153790352,-0.1478030349212727,0.6638779072792427,-0.747056103027654,-0.2864477115121798,-0.6032229177759874,0.0,0.0,0.0002999550089979,경기도오산시,-0.24711194201971617,0.0,0.0,0.0013698415619222155,0.06277330451823376,2
2020,경기도,오산시,0.0,0,-0.979799771797574,0.0029975817513372,0.6912197662605586,-0.796457921477682,-0.27051008631584,-0.5910867038413062,0.0,0.0,9.999500033330834e-05,경기도오산시,-0.24711194201971617,0.0,0.0,0.0013698415619222155,0.061302949745357105,2
2021,경기도,오산시,0.0,0,-0.979799771797574,-0.1452854663273057,0.661977496328156,-0.7778820938023709,-0.3102474588997737,-0.6343224439757502,0.0,0.0,0.0006997551142733,경기도오산시,-0.24711194201971617,0.0,0.0,0.0013698415619222155,0.06501660036986151,3
2022,경기도,오산시,0.0,0,-0.979799771797574,0.5466517325462844,0.7039822447798993,-0.7543605529260843,-0.1208815868493686,-0.395836197392458,0.0,0.0,0.0013990209137073,경기도오산시,-0.24711194201971617,0.0,0.0,0.0013698415619222155,0.04866072711354373,1
2023,경기도,오산시,0.0,0,-0.979799771797574,-0.4205613347807108,0.7311373456691725,-0.7315593243151653,-0.3501957713060694,-0.7106401436311501,0.0,0.0,0.0024968801985871,경기도오산시,-0.24711194201971617,0.0,0.0,0.0013698415619222155,0.06878905879209622,3
2017,경기도,용인시,0.0305292050348228,1,-0.9399323913567142,0.1933531350233858,-0.4710284750930473,-0.2764585231932215,-0.3735165636548993,-0.3410125931755166,1.0,1.0,0.1729443949813576,경기도용인시,-0.4147651386279382,4.0,0.8571428571428571,0.08447906463913978,0.9992657962697553,8
2018,경기도,용인시,0.0231304173888543,1,-0.9324431475645306,0.0326218805814425,-0.509686896370084,-0.248650112719119,-0.4145395690180727,-0.382823793234069,2.0,1.0,0.1074183967672703,경기도용인시,-0.4147651386279382,4.0,0.8571428571428571,0.08447906463913978,0.9994130518409661,9
