법정동코드,법정동명,레벨,등장연도,행수
4513032025,전라북도 군산시 회현면 고사리,동,"[2017, 2018, 2019, 2020]",419
4161025025,경기도 광주시 오포읍 추자리,동,"[2016, 2017, 2018, 2019, 2020]",409
4513014600,전라북도 군산시 소룡동,동,"[2017, 2018, 2019, 2020, 2021, 2022]",409
4617039024,전라남도 나주시 금천면 신천리,동,[2016],405
4613031022,전라남도 여수시 소라면 죽림리,동,"[2018, 2020, 2021]",402
4613031027,전라남도 여수시 소라면 봉두리,동,"[2017, 2018, 2019, 2020, 2021]",401
4686035023,전라남도 함평군 대동면 백호리,동,[2016],397
4513025027,전라북도 군산시 옥구읍 어은리,동,"[2017, 2018, 2019, 2020]",396
4613012200,전라남도 여수시 미평동,동,"[2016, 2017, 2019, 2020, 2021, 2022]",390
4673037035,전라남도 구례군 산동면 탑정리,동,"[2019, 2020, 2021, 2022, 2023]",387
4617039029,전라남도 나주시 금천면 촌곡리,동,[2016],385
4146131022,경기도 용인시 처인구 모현면 갈담리,동,[2017],384
4613033021,전라남도 여수시 화양면 나진리,동,"[2016, 2017, 2019, 2020, 2021]",382
