연도,시도,시군구,피해본수_당해연도,전년도_피해본수,행정구역면적_ha,피해밀도_본per ha,최근3년_피해증가율(%),연속발생연수,인접시군_피해밀도_본per ha,인접시군_산정방식,소나무류_면적_ha,산림면적_ha,소나무류_면적비율(%),소나무류_면적_산정방식,최근감염목과의_거리_km,집단발생여부,데이터유형
2016,강원도,삼척시,320,199,118585.99999999999,0.0027,,1,0.0154,SGIS실제인접,39389.1,102726.3,38.34,외삽(2019/2025 실측 anchor),250.85,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,강원도,삼척시,480,320,118585.99999999999,0.004,,1,0.0225,SGIS실제인접,39233.9,102581.7,38.25,외삽(2019/2025 실측 anchor),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,강원도,삼척시,827,480,118585.99999999999,0.007,,2,0.0339,SGIS실제인접,39079.3,102437.4,38.15,외삽(2019/2025 실측 anchor),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,강원도,삼척시,1387,827,118585.99999999999,0.0117,63.32,3,0.0455,SGIS실제인접,38925.3,102293.2,38.05,실측(임상도overlay),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,강원도,삼척시,1227,1387,118585.99999999999,0.0103,42.81,4,0.0415,SGIS실제인접,38772.0,102149.2,37.96,보간(2019/2025 실측 anchor),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,강원도,삼척시,1040,1227,118585.99999999999,0.0088,13.66,5,0.0355,SGIS실제인접,38619.2,102005.4,37.86,보간(2019/2025 실측 anchor),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,강원도,삼척시,907,1040,118585.99999999999,0.0076,-13.19,6,0.0309,SGIS실제인접,38467.1,101861.8,37.76,보간(2019/2025 실측 anchor),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,강원도,삼척시,800,907,118585.99999999999,0.0067,-13.27,7,0.0282,SGIS실제인접,38315.5,101718.5,37.67,보간(2019/2025 실측 anchor),177.32,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,강원도,삼척시,702,800,118585.99999999999,0.0059,-12.29,8,0.0251,SGIS실제인접,38164.5,101575.3,37.57,보간(2019/2025 실측 anchor),177.32,0,추정(최근추세 외삽)
2025,강원도,삼척시,615,702,118585.99999999999,0.0052,-12.12,9,0.0224,SGIS실제인접,38014.2,101432.3,37.48,실측(임상도overlay),177.32,0,추정(최근추세 외삽)
2016,경기도,안성시,452,289,55340.0,0.0082,,1,0.044,SGIS실제인접,1369.4,21441.7,6.39,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",234.54,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,경기도,안성시,654,452,55340.0,0.0118,,2,0.0619,SGIS실제인접,1369.6,21434.9,6.39,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,경기도,안성시,1093,654,55340.0,0.0198,,3,0.0947,SGIS실제인접,1369.7,21428.2,6.39,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,경기도,안성시,1723,1093,55340.0,0.0311,56.54,4,0.1233,SGIS실제인접,1369.9,21421.4,6.39,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,경기도,안성시,1521,1723,55340.0,0.0275,37.72,5,0.1088,SGIS실제인접,1370.0,21414.6,6.4,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,경기도,안성시,1307,1521,55340.0,0.0236,10.61,6,0.0927,SGIS실제인접,1370.2,21407.8,6.4,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,경기도,안성시,1141,1307,55340.0,0.0206,-12.84,7,0.0821,SGIS실제인접,1370.4,21401.0,6.4,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,경기도,안성시,1010,1141,55340.0,0.0183,-12.75,8,0.0756,SGIS실제인접,1370.5,21394.3,6.41,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,경기도,안성시,888,1010,55340.0,0.016,-12.09,9,0.0683,SGIS실제인접,1370.7,21387.5,6.41,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",215.99,0,추정(최근추세 외삽)
2025,경기도,안성시,780,888,55340.0,0.0141,-11.88,10,0.0617,SGIS실제인접,1370.8,21380.7,6.41,실측(임상도overlay),215.99,0,추정(최근추세 외삽)
2016,경기도,파주시,521,334,67278.0,0.0077,,1,0.0275,centroid근접(대체),150.4,6791.2,2.21,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",328.74,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,경기도,파주시,754,521,67278.0,0.0112,,2,0.0387,centroid근접(대체),150.4,6789.0,2.22,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",303.49,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,경기도,파주시,1261,754,67278.0,0.0187,,3,0.0596,centroid근접(대체),150.4,6786.9,2.22,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",303.49,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,경기도,파주시,1987,1261,67278.0,0.0295,56.54,4,0.079,centroid근접(대체),150.5,6784.7,2.22,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",303.49,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,경기도,파주시,1754,1987,67278.0,0.0261,37.72,5,0.0697,centroid근접(대체),150.5,6782.6,2.22,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",303.49,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,경기도,파주시,1508,1754,67278.0,0.0224,10.61,6,0.0595,centroid근접(대체),150.5,6780.4,2.22,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",303.49,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,경기도,파주시,1316,1508,67278.0,0.0196,-12.84,7,0.0526,centroid근접(대체),150.5,6778.3,2.22,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",303.49,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,경기도,파주시,1165,1316,67278.0,0.0173,-12.75,8,0.0482,centroid근접(대체),150.5,6776.1,2.22,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",303.49,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,경기도,파주시,1024,1165,67278.0,0.0152,-12.09,9,0.0435,centroid근접(대체),150.5,6774.0,2.22,"외삽(2025 실측 anchor + 타시군 평균 증감률, 2019 임상도 없음)",303.49,0,추정(최근추세 외삽)
2025,경기도,파주시,900,1024,67278.0,0.0134,-11.88,10,0.0392,centroid근접(대체),150.6,6771.8,2.22,실측(임상도overlay),303.49,0,추정(최근추세 외삽)
2016,경상남도,거제시,5407,3834,40386.0,0.1339,,4,0.1122,centroid근접(대체),12084.7,27093.2,44.6,외삽(2019/2025 실측 anchor),39.08,1,공식통계 기반(2023 스냅샷 비중 고정)
2017,경상남도,거제시,6991,5407,40386.0,0.1731,,5,0.1451,centroid근접(대체),12053.1,27050.4,44.56,외삽(2019/2025 실측 anchor),121.52,1,공식통계 기반(2023 스냅샷 비중 고정)
2018,경상남도,거제시,10677,6991,40386.0,0.2644,,6,0.2216,centroid근접(대체),12021.6,27007.6,44.51,외삽(2019/2025 실측 anchor),121.52,1,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상남도,거제시,14411,10677,40386.0,0.3568,39.0,7,0.2991,centroid근접(대체),11990.1,26964.9,44.47,실측(임상도overlay),121.52,1,공식통계 기반(2023 스냅샷 비중 고정)
2020,경상남도,거제시,12594,14411,40386.0,0.3118,25.03,8,0.2614,centroid근접(대체),11958.7,26922.3,44.42,보간(2019/2025 실측 anchor),121.52,1,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상남도,거제시,11035,12594,40386.0,0.2732,3.33,9,0.229,centroid근접(대체),11927.5,26879.7,44.37,보간(2019/2025 실측 anchor),121.52,1,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상남도,거제시,9600,11035,40386.0,0.2377,-12.66,10,0.1992,centroid근접(대체),11896.2,26837.2,44.33,보간(2019/2025 실측 anchor),121.52,1,공식통계 기반(2023 스냅샷 비중 고정)
2023,경상남도,거제시,8770,9600,40386.0,0.2172,-11.34,11,0.182,centroid근접(대체),11865.1,26794.8,44.28,보간(2019/2025 실측 anchor),121.52,1,공식통계 기반(2023 스냅샷 비중 고정)
2024,경상남도,거제시,7821,8770,40386.0,0.1936,-10.83,12,0.1623,centroid근접(대체),11834.1,26752.5,44.24,보간(2019/2025 실측 anchor),121.52,1,추정(최근추세 외삽)
2025,경상남도,거제시,6974,7821,40386.0,0.1727,-10.1,13,0.1447,centroid근접(대체),11803.1,26710.2,44.19,실측(임상도overlay),121.52,1,추정(최근추세 외삽)
2016,경상남도,김해시,4537,3218,46330.0,0.0979,,2,0.0658,SGIS실제인접,7615.0,20805.9,36.6,외삽(2019/2025 실측 anchor),18.89,1,공식통계 기반(2023 스냅샷 비중 고정)
2017,경상남도,김해시,5867,4537,46330.0,0.1266,,3,0.0851,SGIS실제인접,7572.6,20749.9,36.49,외삽(2019/2025 실측 anchor),76.12,1,공식통계 기반(2023 스냅샷 비중 고정)
2018,경상남도,김해시,8960,5867,46330.0,0.1934,,4,0.1299,SGIS실제인접,7530.4,20694.1,36.39,외삽(2019/2025 실측 anchor),76.12,1,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상남도,김해시,12094,8960,46330.0,0.261,39.0,5,0.1753,SGIS실제인접,7488.5,20638.4,36.28,실측(임상도overlay),76.12,1,공식통계 기반(2023 스냅샷 비중 고정)
2020,경상남도,김해시,10569,12094,46330.0,0.2281,25.03,6,0.1532,SGIS실제인접,7446.8,20582.9,36.18,보간(2019/2025 실측 anchor),76.12,1,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상남도,김해시,9261,10569,46330.0,0.1999,3.33,7,0.1343,SGIS실제인접,7405.3,20527.6,36.08,보간(2019/2025 실측 anchor),76.12,1,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상남도,김해시,8056,9261,46330.0,0.1739,-12.66,8,0.1168,SGIS실제인접,7364.1,20472.4,35.97,보간(2019/2025 실측 anchor),76.12,1,공식통계 기반(2023 스냅샷 비중 고정)
2023,경상남도,김해시,7360,8056,46330.0,0.1589,-11.34,9,0.1067,SGIS실제인접,7323.1,20417.3,35.87,보간(2019/2025 실측 anchor),76.12,1,공식통계 기반(2023 스냅샷 비중 고정)
2024,경상남도,김해시,6563,7360,46330.0,0.1417,-10.83,10,0.0952,SGIS실제인접,7282.3,20362.4,35.76,보간(2019/2025 실측 anchor),76.12,1,추정(최근추세 외삽)
2025,경상남도,김해시,5853,6563,46330.0,0.1263,-10.1,11,0.0849,SGIS실제인접,7241.8,20307.6,35.66,실측(임상도overlay),76.12,1,추정(최근추세 외삽)
2016,경상남도,남해군,2108,1495,35762.0,0.059,,2,0.0505,centroid근접(대체),10420.7,22580.0,46.15,외삽(2019/2025 실측 anchor),83.89,1,공식통계 기반(2023 스냅샷 비중 고정)
2017,경상남도,남해군,2726,2108,35762.0,0.0762,,3,0.0675,centroid근접(대체),10400.6,22539.3,46.14,외삽(2019/2025 실측 anchor),165.56,1,공식통계 기반(2023 스냅샷 비중 고정)
2018,경상남도,남해군,4163,2726,35762.0,0.1164,,4,0.1042,centroid근접(대체),10380.6,22498.7,46.14,외삽(2019/2025 실측 anchor),165.56,1,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상남도,남해군,5620,4163,35762.0,0.1571,39.0,5,0.1414,centroid근접(대체),10360.6,22458.2,46.13,실측(임상도overlay),165.56,1,공식통계 기반(2023 스냅샷 비중 고정)
2020,경상남도,남해군,4911,5620,35762.0,0.1373,25.03,6,0.1243,centroid근접(대체),10340.7,22417.7,46.13,보간(2019/2025 실측 anchor),165.56,1,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상남도,남해군,4303,4911,35762.0,0.1203,3.33,7,0.1077,centroid근접(대체),10320.8,22377.3,46.12,보간(2019/2025 실측 anchor),165.56,1,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상남도,남해군,3744,4303,35762.0,0.1047,-12.66,8,0.0945,centroid근접(대체),10300.9,22337.0,46.12,보간(2019/2025 실측 anchor),165.56,1,공식통계 기반(2023 스냅샷 비중 고정)
2023,경상남도,남해군,3420,3744,35762.0,0.0956,-11.34,9,0.0848,centroid근접(대체),10281.1,22296.7,46.11,보간(2019/2025 실측 anchor),165.56,1,공식통계 기반(2023 스냅샷 비중 고정)
2024,경상남도,남해군,3050,3420,35762.0,0.0853,-10.83,10,0.0753,centroid근접(대체),10261.3,22256.5,46.1,보간(2019/2025 실측 anchor),165.56,1,추정(최근추세 외삽)
2025,경상남도,남해군,2720,3050,35762.0,0.076,-10.1,11,0.0668,centroid근접(대체),10241.5,22216.4,46.1,실측(임상도overlay),165.56,1,추정(최근추세 외삽)
2016,경상남도,밀양시,3946,2798,79867.0,0.0494,,3,0.082,SGIS실제인접,19854.2,49008.3,40.51,외삽(2019/2025 실측 anchor),31.14,1,공식통계 기반(2023 스냅샷 비중 고정)
2017,경상남도,밀양시,5102,3946,79867.0,0.0639,,4,0.106,SGIS실제인접,19774.0,48943.6,40.4,외삽(2019/2025 실측 anchor),58.35,1,공식통계 기반(2023 스냅샷 비중 고정)
2018,경상남도,밀양시,7791,5102,79867.0,0.0976,,5,0.1618,SGIS실제인접,19694.1,48878.9,40.29,외삽(2019/2025 실측 anchor),58.35,1,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상남도,밀양시,10517,7791,79867.0,0.1317,39.0,6,0.2185,SGIS실제인접,19614.4,48814.3,40.18,실측(임상도overlay),58.35,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,경상남도,밀양시,9191,10517,79867.0,0.1151,25.03,7,0.1909,SGIS실제인접,19535.2,48749.8,40.07,보간(2019/2025 실측 anchor),58.35,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상남도,밀양시,8053,9191,79867.0,0.1008,3.33,8,0.1673,SGIS실제인접,19456.2,48685.4,39.96,보간(2019/2025 실측 anchor),58.35,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상남도,밀양시,7006,8053,79867.0,0.0877,-12.66,9,0.1455,SGIS실제인접,19377.6,48621.0,39.85,보간(2019/2025 실측 anchor),58.35,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,경상남도,밀양시,6400,7006,79867.0,0.0801,-11.34,10,0.1329,SGIS실제인접,19299.2,48556.8,39.75,보간(2019/2025 실측 anchor),58.35,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,경상남도,밀양시,5707,6400,79867.0,0.0715,-10.83,11,0.1186,SGIS실제인접,19221.2,48492.6,39.64,보간(2019/2025 실측 anchor),58.35,0,추정(최근추세 외삽)
2025,경상남도,밀양시,5089,5707,79867.0,0.0637,-10.1,12,0.1057,SGIS실제인접,19143.5,48428.5,39.53,실측(임상도overlay),58.35,0,추정(최근추세 외삽)
2016,경상남도,사천시,2910,2064,39825.0,0.0731,,3,0.0508,SGIS실제인접,11831.7,22092.4,53.56,외삽(2019/2025 실측 anchor),61.44,1,공식통계 기반(2023 스냅샷 비중 고정)
2017,경상남도,사천시,3763,2910,39825.0,0.0945,,4,0.0656,SGIS실제인접,11769.9,21943.7,53.64,외삽(2019/2025 실측 anchor),141.57,1,공식통계 기반(2023 스냅샷 비중 고정)
2018,경상남도,사천시,5746,3763,39825.0,0.1443,,5,0.1002,SGIS실제인접,11708.5,21796.1,53.72,외삽(2019/2025 실측 anchor),141.57,1,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상남도,사천시,7756,5746,39825.0,0.1948,39.0,6,0.1353,SGIS실제인접,11647.3,21649.5,53.8,실측(임상도overlay),141.57,1,공식통계 기반(2023 스냅샷 비중 고정)
2020,경상남도,사천시,6778,7756,39825.0,0.1702,25.03,7,0.1183,SGIS실제인접,11586.5,21503.8,53.88,보간(2019/2025 실측 anchor),141.57,1,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상남도,사천시,5939,6778,39825.0,0.1491,3.33,8,0.1036,SGIS실제인접,11526.0,21359.2,53.96,보간(2019/2025 실측 anchor),141.57,1,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상남도,사천시,5167,5939,39825.0,0.1297,-12.66,9,0.0901,SGIS실제인접,11465.9,21215.5,54.04,보간(2019/2025 실측 anchor),141.57,1,공식통계 기반(2023 스냅샷 비중 고정)
2023,경상남도,사천시,4720,5167,39825.0,0.1185,-11.34,10,0.0823,SGIS실제인접,11406.0,21072.7,54.13,보간(2019/2025 실측 anchor),141.57,1,공식통계 기반(2023 스냅샷 비중 고정)
2024,경상남도,사천시,4209,4720,39825.0,0.1057,-10.83,11,0.0734,SGIS실제인접,11346.5,20931.0,54.21,보간(2019/2025 실측 anchor),141.57,1,추정(최근추세 외삽)
2025,경상남도,사천시,3753,4209,39825.0,0.0942,-10.1,12,0.0655,SGIS실제인접,11287.2,20790.1,54.29,실측(임상도overlay),141.57,1,추정(최근추세 외삽)
2016,경상남도,양산시,3403,2413,48560.0,0.0701,,2,0.0737,SGIS실제인접,7452.5,34844.8,21.39,외삽(2019/2025 실측 anchor),34.44,1,공식통계 기반(2023 스냅샷 비중 고정)
2017,경상남도,양산시,4400,3403,48560.0,0.0906,,3,0.0953,SGIS실제인접,7436.9,34785.1,21.38,외삽(2019/2025 실측 anchor),60.35,1,공식통계 기반(2023 스냅샷 비중 고정)
2018,경상남도,양산시,6720,4400,48560.0,0.1384,,4,0.1455,SGIS실제인접,7421.3,34725.6,21.37,외삽(2019/2025 실측 anchor),60.35,1,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상남도,양산시,9071,6720,48560.0,0.1868,39.0,5,0.1964,SGIS실제인접,7405.7,34666.2,21.36,실측(임상도overlay),60.35,1,공식통계 기반(2023 스냅샷 비중 고정)
2020,경상남도,양산시,7927,9071,48560.0,0.1632,25.03,6,0.1716,SGIS실제인접,7390.2,34606.8,21.35,보간(2019/2025 실측 anchor),60.35,1,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상남도,양산시,6946,7927,48560.0,0.143,3.33,7,0.1504,SGIS실제인접,7374.7,34547.6,21.35,보간(2019/2025 실측 anchor),60.35,1,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상남도,양산시,6042,6946,48560.0,0.1244,-12.66,8,0.1308,SGIS실제인접,7359.2,34488.5,21.34,보간(2019/2025 실측 anchor),60.35,1,공식통계 기반(2023 스냅샷 비중 고정)
2023,경상남도,양산시,5520,6042,48560.0,0.1137,-11.34,9,0.1195,SGIS실제인접,7343.8,34429.5,21.33,보간(2019/2025 실측 anchor),60.35,1,공식통계 기반(2023 스냅샷 비중 고정)
2024,경상남도,양산시,4922,5520,48560.0,0.1014,-10.83,10,0.1066,SGIS실제인접,7328.4,34370.6,21.32,보간(2019/2025 실측 anchor),60.35,1,추정(최근추세 외삽)
2025,경상남도,양산시,4389,4922,48560.0,0.0904,-10.1,11,0.095,SGIS실제인접,7313.0,34311.8,21.31,실측(임상도overlay),60.35,1,추정(최근추세 외삽)
2016,경상남도,진주시,3619,2566,71286.0,0.0508,,2,0.0755,SGIS실제인접,20385.7,40157.0,50.76,외삽(2019/2025 실측 anchor),52.33,1,공식통계 기반(2023 스냅샷 비중 고정)
2017,경상남도,진주시,4679,3619,71286.0,0.0656,,3,0.0976,SGIS실제인접,20343.2,40023.8,50.83,외삽(2019/2025 실측 anchor),125.9,1,공식통계 기반(2023 스냅샷 비중 고정)
2018,경상남도,진주시,7146,4679,71286.0,0.1002,,4,0.149,SGIS실제인접,20300.7,39891.0,50.89,외삽(2019/2025 실측 anchor),125.9,1,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상남도,진주시,9646,7146,71286.0,0.1353,39.0,5,0.2012,SGIS실제인접,20258.3,39758.6,50.95,실측(임상도overlay),125.9,1,공식통계 기반(2023 스냅샷 비중 고정)
2020,경상남도,진주시,8430,9646,71286.0,0.1183,25.03,6,0.1758,SGIS실제인접,20216.0,39626.7,51.02,보간(2019/2025 실측 anchor),125.9,1,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상남도,진주시,7386,8430,71286.0,0.1036,3.33,7,0.154,SGIS실제인접,20173.8,39495.2,51.08,보간(2019/2025 실측 anchor),125.9,1,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상남도,진주시,6425,7386,71286.0,0.0901,-12.66,8,0.134,SGIS실제인접,20131.7,39364.1,51.14,보간(2019/2025 실측 anchor),125.9,1,공식통계 기반(2023 스냅샷 비중 고정)
2023,경상남도,진주시,5870,6425,71286.0,0.0823,-11.34,9,0.1224,SGIS실제인접,20089.6,39233.5,51.21,보간(2019/2025 실측 anchor),125.9,1,공식통계 기반(2023 스냅샷 비중 고정)
2024,경상남도,진주시,5234,5870,71286.0,0.0734,-10.83,10,0.1092,SGIS실제인접,20047.7,39103.3,51.27,보간(2019/2025 실측 anchor),125.9,1,추정(최근추세 외삽)
2025,경상남도,진주시,4668,5234,71286.0,0.0655,-10.1,11,0.0973,SGIS실제인접,20005.8,38973.6,51.33,실측(임상도overlay),125.9,1,추정(최근추세 외삽)
2016,경상남도,창원시,5826,4132,74818.0,0.0779,,3,0.066,SGIS실제인접,16191.2,41236.2,39.26,외삽(2019/2025 실측 anchor),0.0,1,공식통계 기반(2023 스냅샷 비중 고정)
2017,경상남도,창원시,7533,5826,74818.0,0.1007,,4,0.0854,SGIS실제인접,16165.3,41174.5,39.26,외삽(2019/2025 실측 anchor),85.38,1,공식통계 기반(2023 스냅샷 비중 고정)
2018,경상남도,창원시,11504,7533,74818.0,0.1538,,5,0.1304,SGIS실제인접,16139.4,41112.8,39.26,외삽(2019/2025 실측 anchor),85.38,1,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상남도,창원시,15528,11504,74818.0,0.2075,39.0,6,0.176,SGIS실제인접,16113.6,41051.3,39.25,실측(임상도overlay),85.38,1,공식통계 기반(2023 스냅샷 비중 고정)
2020,경상남도,창원시,13571,15528,74818.0,0.1814,25.03,7,0.1538,SGIS실제인접,16087.8,40989.9,39.25,보간(2019/2025 실측 anchor),85.38,1,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상남도,창원시,11891,13571,74818.0,0.1589,3.33,8,0.1348,SGIS실제인접,16062.1,40928.6,39.24,보간(2019/2025 실측 anchor),85.38,1,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상남도,창원시,10344,11891,74818.0,0.1383,-12.66,9,0.1172,SGIS실제인접,16036.4,40867.3,39.24,보간(2019/2025 실측 anchor),85.38,1,공식통계 기반(2023 스냅샷 비중 고정)
