연도,시도,시군구,피해본수_당해연도,전년도_피해본수,행정구역면적_ha,피해밀도_본per ha,최근3년_피해증가율(%),연속발생연수,인접시군_피해밀도_본per ha,인접시군_산정방식,소나무류_면적_ha,산림면적_ha,소나무류_면적비율(%),소나무류_면적_산정방식,최근감염목과의_거리_km,집단발생여부,데이터유형
2016,경상북도,안동시,1791,1207,152091.0,0.0118,,1,0.019,centroid근접(대체),47338.5,98625.2,48.0,외삽(2019/2025 실측 anchor),149.06,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,경상북도,안동시,2621,1791,152091.0,0.0172,,2,0.0279,centroid근접(대체),47934.7,99254.9,48.29,외삽(2019/2025 실측 anchor),90.78,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,경상북도,안동시,3944,2621,152091.0,0.0259,,3,0.0419,centroid근접(대체),48538.5,99888.6,48.59,외삽(2019/2025 실측 anchor),90.78,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상북도,안동시,5292,3944,152091.0,0.0348,43.67,4,0.0562,centroid근접(대체),49149.9,100526.4,48.89,실측(임상도overlay),90.78,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,경상북도,안동시,4819,5292,152091.0,0.0317,25.24,5,0.0512,centroid근접(대체),49769.0,101168.2,49.19,보간(2019/2025 실측 anchor),90.78,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상북도,안동시,4130,4819,152091.0,0.0272,3.65,6,0.0439,centroid근접(대체),50395.9,101814.1,49.5,보간(2019/2025 실측 anchor),90.78,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상북도,안동시,3597,4130,152091.0,0.0236,-12.05,7,0.0382,centroid근접(대체),51030.6,102464.2,49.8,보간(2019/2025 실측 anchor),90.78,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,경상북도,안동시,3280,3597,152091.0,0.0216,-12.01,8,0.0349,centroid근접(대체),51673.4,103118.4,50.11,보간(2019/2025 실측 anchor),90.78,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,경상북도,안동시,2924,3280,152091.0,0.0192,-10.86,9,0.0311,centroid근접(대체),52324.3,103776.7,50.42,보간(2019/2025 실측 anchor),90.78,0,추정(최근추세 외삽)
2025,경상북도,안동시,2606,2924,152091.0,0.0171,-10.18,10,0.0277,centroid근접(대체),52983.4,104439.3,50.73,실측(임상도overlay),90.78,0,추정(최근추세 외삽)
2016,경상북도,영덕군,2490,1678,74106.0,0.0336,,3,0.0266,SGIS실제인접,20762.7,57575.2,36.06,외삽(2019/2025 실측 anchor),145.72,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,경상북도,영덕군,3644,2490,74106.0,0.0492,,4,0.0389,SGIS실제인접,20958.9,57905.2,36.2,외삽(2019/2025 실측 anchor),63.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,경상북도,영덕군,5483,3644,74106.0,0.074,,5,0.0586,SGIS실제인접,21156.9,58237.2,36.33,외삽(2019/2025 실측 anchor),63.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상북도,영덕군,7358,5483,74106.0,0.0993,43.67,6,0.0786,SGIS실제인접,21356.8,58571.0,36.46,실측(임상도overlay),63.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2020,경상북도,영덕군,6700,7358,74106.0,0.0904,25.24,7,0.0716,SGIS실제인접,21558.6,58906.7,36.6,보간(2019/2025 실측 anchor),63.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2021,경상북도,영덕군,5742,6700,74106.0,0.0775,3.65,8,0.0613,SGIS실제인접,21762.3,59244.4,36.73,보간(2019/2025 실측 anchor),63.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2022,경상북도,영덕군,5001,5742,74106.0,0.0675,-12.05,9,0.0534,SGIS실제인접,21968.0,59584.0,36.87,보간(2019/2025 실측 anchor),63.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2023,경상북도,영덕군,4560,5001,74106.0,0.0615,-12.01,10,0.0487,SGIS실제인접,22175.5,59925.6,37.01,보간(2019/2025 실측 anchor),63.45,0,공식통계 기반(2023 스냅샷 비중 고정)
2024,경상북도,영덕군,4065,4560,74106.0,0.0549,-10.86,11,0.0434,SGIS실제인접,22385.1,60269.1,37.14,보간(2019/2025 실측 anchor),63.45,0,추정(최근추세 외삽)
2025,경상북도,영덕군,3623,4065,74106.0,0.0489,-10.18,12,0.0387,SGIS실제인접,22596.6,60614.6,37.28,실측(임상도overlay),63.45,0,추정(최근추세 외삽)
2016,경상북도,울진군,1523,1026,98900.0,0.0154,,1,0.0181,SGIS실제인접,35229.7,72462.4,48.62,외삽(2019/2025 실측 anchor),206.61,0,공식통계 기반(2023 스냅샷 비중 고정)
2017,경상북도,울진군,2229,1523,98900.0,0.0225,,2,0.0266,SGIS실제인접,36147.2,73750.3,49.01,외삽(2019/2025 실측 anchor),127.41,0,공식통계 기반(2023 스냅샷 비중 고정)
2018,경상북도,울진군,3355,2229,98900.0,0.0339,,3,0.0405,SGIS실제인접,37088.7,75061.1,49.41,외삽(2019/2025 실측 anchor),127.41,0,공식통계 기반(2023 스냅샷 비중 고정)
2019,경상북도,울진군,4502,3355,98900.0,0.0455,43.67,4,0.0555,SGIS실제인접,38054.7,76395.2,49.81,실측(임상도overlay),127.41,0,공식통계 기반(2023 스냅샷 비중 고정)
