"연도","시군구코드","시도","시군구","대응자원투입예산_소나무림ha당_log","예찰진단예산_소나무림ha당_log","방제법인수_소나무림1만ha당_log","이동통제예산_소나무림ha당_log","예찰진단예산비중","이동통제예산비중","반출금지구역_지정여부","반출금지구역면적비율","예산자료_사용가능여부","법인자료_연도완전여부","법인자료_최신성주의플래그"
"2016","47840","경상북도","성주군","9.58113891121313","7.943660394590159","1.464062294395618","0.0","0.162769482","0.0","1.0","1.5231541749346238","1","1","0"
"2016","47850","경상북도","칠곡군","9.931587813923878","8.478220025923727","1.4552533242713042","0.0","0.189459329","0.0","1.0","3.3354000960689323","1","1","0"
"2016","47900","경상북도","예천군","10.275330438450442","0.0","1.3045216874989363","0.0","0.0","0.0","","","1","1","0"
"2016","47920","경상북도","봉화군","9.281863987157962","6.711541040249695","1.0774146826393853","0.0","0.070998779","0.0","1.0","0.1251351388216229","1","1","0"
"2016","47930","경상북도","울진군","9.651190978784543","0.0","1.0287283034568342","0.0","0.0","0.0","","","1","1","0"
"2016","47940","경상북도","울릉군","7.375191977756379","0.0","0.0","0.0","0.0","0.0","","","1","1","0"
"2016","48121","경상남도","창원시 의창구","","","1.5883425275559249","","","","","","0","1","0"
"2016","48123","경상남도","창원시 성산구","","","0.0","","","","","","0","1","0"
"2016","48125","경상남도","창원시 마산합포구","","","1.588548674076729","","","","","","0","1","0"
"2016","48127","경상남도","창원시 마산회원구","","","1.664538104697602","","","","","","0","1","0"
"2016","48129","경상남도","창원시 진해구","","","0.0","","","","","","0","1","0"
"2016","48170","경상남도","진주시","11.000623207939118","0.0","1.7786234499911846","0.0","0.0","0.0","1.0","3.507990386169501","1","1","0"
"2016","48220","경상남도","통영시","10.64325785124218","0.0","1.4694754361349491","0.0","0.0","0.0","1.0","1.6108890986921724","1","1","0"
"2016","48240","경상남도","사천시","11.336773183091399","0.0","1.8159124349238251","0.0","0.0","0.0","1.0","0.05970151197644436","1","1","0"
"2016","48250","경상남도","김해시","12.421516292320295","0.0","2.0306046997674025","0.0","0.0","0.0","1.0","4.038461103032623","1","1","0"
"2016","48270","경상남도","밀양시","12.620384806299551","0.0","1.3936274810322336","0.0","0.0","0.0","1.0","3.226303420647084","1","1","0"
"2016","48310","경상남도","거제시","12.21771560581372","0.0","1.9223938126245466","0.0","0.0","0.0","1.0","2.758143821886935","1","1","0"
"2016","48330","경상남도","양산시","11.75988196157888","0.0","2.1988511470847856","0.0","0.0","0.0","1.0","5.840009057795902","1","1","0"
"2016","48720","경상남도","의령군","9.83750770980855","0.0","0.48304247513939924","0.0","0.0","0.0","1.0","2.476232538345603","1","1","0"
"2016","48730","경상남도","함안군","10.107895871841173","0.0","1.8863894986763743","0.0","0.0","0.0","1.0","0.5659371578085891","1","1","0"
"2016","48740","경상남도","창녕군","11.141506217854548","0.0","1.074986465245706","0.0","0.0","0.0","1.0","3.427725625014515","1","1","0"
"2016","48820","경상남도","고성군","10.081575583350034","0.0","1.5188182654405695","0.0","0.0","0.0","1.0","0.9430685907873445","1","1","0"
"2016","48840","경상남도","남해군","10.661865562131108","0.0","1.359843992531207","0.0","0.0","0.0","1.0","1.6585141667775574","1","1","0"
"2016","48850","경상남도","하동군","10.403982975328123","0.0","2.005593535352718","0.0","0.0","0.0","1.0","2.43126059542026","1","1","0"
"2016","48860","경상남도","산청군","8.566366341740093","0.0","1.2722397688379665","0.0","0.0","0.0","1.0","0.8140644412615702","1","1","0"
