"연도","시군구코드","시도","시군구","시군구_전체명","메인지수A_예산기반_pooled","메인지수A_예산기반_연도별표준화","확장지수B_예산법인_pooled","확장지수B_예산법인_연도별표준화","핵심_소나무림면적당_총대응예산_log","핵심_소나무림면적당_예찰예산_log","확장_소나무림1만ha당_방제법인수_log","보조_소나무림면적당_이동단속예산_log","보조_예찰예산비중","보조_이동단속예산비중","보조_반출금지구역_지정여부","보조_반출금지구역_면적비율","원자료_총대응예산_원","원자료_예찰예산_원","원자료_이동단속예산_원","원자료_포함대응예산_원","원자료_직접대응예산_원","원자료_광의대응예산_원","소나무림면적_ha","활동방제법인수","소나무림1만ha당_방제법인수","반출금지구역_면적_ha","예산관측여부","예산결측사유","소나무림면적_관측여부","소나무림면적_양수여부","예산기반지수_사용가능여부","확장지수_사용가능여부","분석단위_매칭여부","법인자료_관측여부","법인자료_연도완전여부","법인자료_최신성주의플래그","법인자료_기준일","법인자료_지역매칭여부","반출금지구역_이력완전여부","반출금지구역_날짜품질플래그","반출금지구역_지역매칭여부"
"2016","26380","부산광역시","사하구","부산광역시 사하구","-0.3231225336","0.1522107478","-0.5147483032","-0.2201324978","12.255104833724031","0.0","0.0","0.0","0.0","0.0","","","106177000.0","0.0","0.0","106177000.0","0.0","106177000.0","505.4848147004281","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","26410","부산광역시","금정구","부산광역시 금정구","-0.443413577","0.0364993211","-0.1060149727","0.2086843894","11.376853796666856","0.0","1.8590600692567483","0.0","0.0","0.0","1.0","3.045290148307508","161096000.0","0.0","0.0","161096000.0","0.0","161096000.0","1845.8011310101283","1.0","5.417701740451002","5621.0","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","full_date","1"
"2016","26440","부산광역시","강서구","부산광역시 강서구","-0.415366388","0.0634787217","-0.5760362211","-0.2792871818","11.581627752318523","0.0","0.0","0.0","0.0","0.0","","","192736000.0","0.0","0.0","192736000.0","0.0","192736000.0","1799.408931548245","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","26470","부산광역시","연제구","부산광역시 연제구","-0.202086174","0.2686391156","-0.4343303012","-0.1425135859","13.13879746275548","0.0","0.0","0.0","0.0","0.0","","","46266000.0","0.0","0.0","46266000.0","0.0","46266000.0","91.02392760698054","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","26500","부산광역시","수영구","부산광역시 수영구","-0.1878820777","0.2823024458","-0.4248929301","-0.1334046991","13.24250229329797","0.0","0.0","0.0","0.0","0.0","","","50994000.0","0.0","0.0","50994000.0","0.0","50994000.0","90.4428371108635","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","26530","부산광역시","사상구","부산광역시 사상구","-0.4309537197","0.0484848174","-0.5863926303","-0.289283118","11.467823849343837","0.0","0.0","0.0","0.0","0.0","","","51068000.0","0.0","0.0","51068000.0","700000.0","51068000.0","534.2453807745762","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","26710","부산광역시","기장군","부산광역시 기장군","-0.3752651339","0.1020532755","0.1167609146","0.4361688663","11.87440905186701","0.0","2.534336654957796","0.0","0.0","0.0","","","741957000.0","0.0","0.0","741957000.0","0.0","741957000.0","5168.820314992766","6.0","11.608064576352753","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","27110","대구광역시","중구","대구광역시 중구","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","","1","observed","1","0","0","0","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","27140","대구광역시","동구","대구광역시 동구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","5054.679670192707","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","27170","대구광역시","서구","대구광역시 서구","-2.0016623643","-1.4624251639","-1.6299902017","-1.2965564389","0.0","0.0","0.0","0.0","","","","","0.0","0.0","0.0","0.0","0.0","0.0","29.4744631745872","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","27200","대구광역시","남구","대구광역시 남구","-0.5423706332","-0.0586903275","-0.6604193575","-0.3607332146","10.654363286915208","0.0","0.0","0.0","0.0","0.0","","","12405000.0","0.0","0.0","12405000.0","0.0","12405000.0","292.73579718212096","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","27230","대구광역시","북구","대구광역시 북구","-0.4674899014","0.0133396097","-0.6106677055","-0.3127132564","11.20107132536607","0.0","0.0","0.0","0.0","0.0","","","170300000.0","0.0","0.0","170300000.0","170300000.0","170300000.0","2326.253889395725","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","27260","대구광역시","수성구","대구광역시 수성구","-0.6569997938","-0.1689554257","-0.73658034","-0.4342432801","9.817449944433896","0.0","0.0","0.0","0.0","0.0","","","19962000.0","0.0","0.0","19962000.0","0.0","19962000.0","1087.835883476674","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","27290","대구광역시","달서구","대구광역시 달서구","-0.5049061554","-0.022652165","-0.6355275113","-0.3367077729","10.927893348117179","0.0","0.0","0.0","0.0","0.0","","","45937000.0","0.0","0.0","45937000.0","0.0","45937000.0","824.6062940159311","0.0","0.0","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","27710","대구광역시","달성군","대구광역시 달성군","-0.654463611","-0.1665157982","-0.5474508464","-0.2385356492","9.835966744297137","0.0","0.7131199582639293","0.0","0.0","0.0","","","179682000.0","0.0","0.0","179682000.0","0.0","179682000.0","9612.176215481291","1.0","1.0403471363637802","","1","observed","1","1","1","1","1","1","1","0","2022-05-12","1","0","unknown_pre2019","1"
"2016","27720","대구광역시","군위군","대구광역시 군위군","","","","","","","0.7344012765873833","","","","1.0","0.8953602219354226","","","","","","","18446.207007386136","2.0","1.0842337393260144","16516.0","0","administrative_history","1","1","0","0","0","1","1","0","2022-05-12","1","0","full_date","1"
