연도,시도,시군구,국비지원액_원,총사업비_원,국비비율(%),매칭사업수,매칭사업명,예찰진단_국비지원액_원,예찰진단_총사업비_원,예찰진단_국비비율(%),예찰진단_매칭사업수,예찰진단_사업명목록,국비지원액_최종_원,총사업비_최종_원,국비비율_최종(%),매칭사업수_최종,산림면적_ha,산림면적당_국비지원액(원per ha),산림면적당_국비지원액_최종(원per ha),시도비_원(참고),시군구비_원(참고),기타재원_원(참고),출처,비고
2020,경기도,파주시,95969000.0,201979000.0,47.51,2,소나무재선충병 방제; 소나무재선충병 예방,46317000.0,92632000.0,50.0,2,산림재해일자리 장기(산림병해충예찰방제단 방제자재); 산림재해일자리 장기(산림병해충예찰방제단),142286000.0,294611000.0,48.3,4,6782.6,14149.29,20978.1,31803000.0,74207000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2021,경기도,파주시,101151000.0,690414000.0,14.65,3,소나무재선충병 방제; 소나무재선충병 방제(자체); 소나무재선충병 예방,48430000.0,165368000.0,29.29,3,산림재해일자리 장기(산림병해충예찰방제단 방제자재); 산림재해일자리 장기(산림병해충예찰방제단); 산림재해일자리 장기(산림병해충예찰방제단)(자체),149581000.0,855782000.0,17.48,6,6780.4,14918.15,22060.8,20415000.0,568848000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2022,경기도,파주시,266989000.0,669272000.0,39.89,4,산림재해대책(소나무재선충병 긴급방제); 소나무재선충병 방제(경상); 소나무재선충병 방제(자체); 소나무재선충병 예방,95272000.0,209548000.0,45.47,3,산림재해일자리 장기(산림병해충예찰방제단 방제자재); 산림재해일자리 장기(산림병해충예찰방제단); 산림재해일자리 장기(산림병해충예찰방제단)(자체),362261000.0,878820000.0,41.22,7,6778.3,39388.78,53444.2,60190000.0,342093000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2023,경기도,파주시,102192000.0,655055000.0,15.6,3,소나무재선충병 방제(경상); 소나무재선충병 방제(자체); 소나무재선충병 예방,100969000.0,200635000.0,50.32,2,산림재해일자리 장기(산림병해충예찰방제단 방제자재); 산림재해일자리 장기(산림병해충예찰방제단),203161000.0,855690000.0,23.74,5,6776.1,15081.24,29982.0,98852000.0,454011000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2016,경상남도,거제시,150000000.0,300000000.0,50.0,1,소나무재선충병 긴급 방제,0.0,0.0,,0,,150000000.0,300000000.0,50.0,1,27093.2,5536.44,5536.4,45000000.0,105000000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",예찰진단(산림병해충예찰방제단) 사업 미검색 - 국비 0으로 처리
2017,경상남도,거제시,1057205000.0,1561456000.0,67.71,1,소나무재선충병 방제,299434000.0,598868000.0,50.0,2,산림병해충 예찰방제단(경상/지원); 산림병해충 예찰방제단(자본),1356639000.0,2160324000.0,62.8,3,27050.4,39082.79,50152.3,150080000.0,354171000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2018,경상남도,거제시,1509340000.0,2298009000.0,65.68,2,소나무재선충병 방제; 재해대책비(소나무재선충병 방제),125579000.0,251158000.0,50.0,2,산림병해충 예찰방제단(경상/지원); 산림병해충 예찰방제단(자본),1634919000.0,2549167000.0,64.14,4,27007.6,55885.75,60535.5,236301000.0,552368000.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2019,경상남도,거제시,2395210980.0,3671224600.0,65.24,3,소나무재선충병 긴급방제; 소나무재선충병 방제; 재해대책비(소나무재선충병 방제),133659000.0,267319000.0,50.0,2,산림병해충 예찰방제단(경상/지원); 산림병해충 예찰방제단(자본),2528869980.0,3938543600.0,64.21,5,26964.9,88826.99,93783.8,382452510.0,893561110.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2020,경상남도,거제시,969634263.0,1368155230.0,70.87,1,소나무재선충병 방제,137926000.0,275852000.0,50.0,2,산림병해충 예찰방제단(경상/지원); 산림병해충 예찰방제단(자본),1107560263.0,1644007230.0,67.37,3,26922.3,36016.03,41139.1,119556290.0,278964677.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
2021,경상남도,거제시,944108680.0,1473817630.0,64.06,2,소나무재선충병 방제; 재해대책비(소나무재선충병 방제),139014000.0,278028000.0,50.0,2,산림병해충 예찰방제단(경상/지원); 산림병해충 예찰방제단(자본),1083122680.0,1751845630.0,61.83,4,26879.7,35123.48,40295.2,158892830.0,370816120.0,0.0,"재정365 세부사업별세출현황(2016~2023, 지자체 예산현액 기준) 중 사업명에 '소나무재선충병/소나무재선충/재선충' 포함 사업 전체 합산; 산림면적_ha는 CH2_노출도_2016_2025.csv 인용",
