year,sigungu_cd,sigungu_nm,sido,sigungu_full_nm,log_resource_budget_per_pine_ha,log_surveillance_budget_per_pine_ha,log_movement_budget_per_pine_ha,resource_local_budget,surveillance_local_budget,movement_local_budget,included_local_budget,surveillance_share,movement_share_included_budget,prev_infected_sites,current_infected_sites,recurrent_sites_300m,recurrence_rate_300m,pine_area_ha_2024,pine_area_positive,pine_area_observed,budget_observed,budget_missing_reason
2016,27290,달서구,대구광역시,대구광역시 달서구,10.952009259583432,0.0,0.0,45937000.0,0.0,0.0,45937000.0,0.0,0.0,,8,,,804.9576875,1,1,1,observed
2016,27710,달성군,대구광역시,대구광역시 달성군,9.84681525034829,0.0,0.0,179682000.0,0.0,0.0,179682000.0,0.0,0.0,,1,,,9508.456565,1,1,1,observed
2016,27720,군위군,대구광역시,대구광역시 군위군,,,,,,,,,,,94,,,18006.95954,1,1,0,administrative_history
2016,28110,중구,인천광역시,인천광역시 중구,10.891596449154868,0.0,0.0,49100000.0,0.0,0.0,49100000.0,0.0,0.0,,0,,,913.9645251,1,1,1,observed
2016,28140,동구,인천광역시,인천광역시 동구,,,,0.0,0.0,0.0,0.0,,,,0,,,0.0,0,1,1,observed
2016,28177,미추홀구,인천광역시,인천광역시 미추홀구,,,,,,,,,,,0,,,17.71144738,1,1,0,administrative_history
2016,28185,연수구,인천광역시,인천광역시 연수구,13.953695332916665,0.0,0.0,44213000.0,0.0,0.0,44213000.0,0.0,0.0,,0,,,38.50680424,1,1,1,observed
2016,28200,남동구,인천광역시,인천광역시 남동구,13.712932538238332,0.0,0.0,53873000.0,0.0,0.0,53873000.0,0.0,0.0,,0,,,59.69262942,1,1,1,observed
2016,28237,부평구,인천광역시,인천광역시 부평구,12.823129434009084,0.0,0.0,12897000.0,0.0,0.0,12897000.0,0.0,0.0,,0,,,34.79168939,1,1,1,observed
2016,28245,계양구,인천광역시,인천광역시 계양구,14.027071466304458,0.0,0.0,42152000.0,0.0,0.0,42152000.0,0.0,0.0,,0,,,34.11448362,1,1,1,observed
2016,28260,서구,인천광역시,인천광역시 서구,13.93581495276596,0.0,0.0,63190000.0,0.0,0.0,63190000.0,0.0,0.0,,0,,,56.02749502,1,1,1,observed
2016,28710,강화군,인천광역시,인천광역시 강화군,12.858507581276312,0.0,0.0,87871000.0,0.0,0.0,87871000.0,0.0,0.0,,0,,,228.8062122,1,1,1,observed
2016,28720,옹진군,인천광역시,인천광역시 옹진군,10.31246989591402,0.0,0.0,162241000.0,0.0,0.0,162241000.0,0.0,0.0,,0,,,5389.22443,1,1,1,observed
2016,29110,동구,광주광역시,광주광역시 동구,8.339053463215915,0.0,0.0,3277000.0,0.0,0.0,3277000.0,0.0,0.0,,0,,,783.3851706,1,1,1,observed
2016,29140,서구,광주광역시,광주광역시 서구,12.979121145230309,0.0,0.0,53384000.0,0.0,0.0,53384000.0,0.0,0.0,,3,,,123.2115499,1,1,1,observed
2016,29155,남구,광주광역시,광주광역시 남구,9.232172887654226,0.0,0.0,4369000.0,0.0,0.0,4369000.0,0.0,0.0,,1,,,427.5065739,1,1,1,observed
2016,29170,북구,광주광역시,광주광역시 북구,9.297699120958509,0.0,0.0,13897000.0,0.0,0.0,13897000.0,0.0,0.0,,0,,,1273.565932,1,1,1,observed
2016,29200,광산구,광주광역시,광주광역시 광산구,10.536766624582526,0.0,0.0,94477000.0,0.0,0.0,94477000.0,0.0,0.0,,17,,,2507.714087,1,1,1,observed
2016,30110,동구,대전광역시,대전광역시 동구,10.784409033086773,0.0,0.0,31548000.0,0.0,0.0,31548000.0,0.0,0.0,,0,,,653.689482,1,1,1,observed
2016,30140,중구,대전광역시,대전광역시 중구,11.364185240099085,0.0,0.0,31607000.0,0.0,0.0,31607000.0,0.0,0.0,,0,,,366.7628804,1,1,1,observed
2016,30170,서구,대전광역시,대전광역시 서구,11.26438019676686,0.0,0.0,39404000.0,0.0,0.0,39404000.0,0.0,0.0,,0,,,505.2283558,1,1,1,observed
2016,30200,유성구,대전광역시,대전광역시 유성구,10.435707928142172,0.0,0.0,33999000.0,0.0,0.0,33999000.0,0.0,0.0,,0,,,998.4090954,1,1,1,observed
2016,30230,대덕구,대전광역시,대전광역시 대덕구,12.59498163500534,0.0,0.0,37822000.0,0.0,0.0,37822000.0,0.0,0.0,,0,,,128.1784272,1,1,1,observed
2016,31110,중구,울산광역시,울산광역시 중구,14.432650084809838,0.0,0.0,1402471470.0,0.0,0.0,1402471470.0,0.0,0.0,,6512,,,756.6133129,1,1,1,observed
2016,31140,남구,울산광역시,울산광역시 남구,13.787257397532386,0.0,0.0,415098000.0,0.0,0.0,415098000.0,0.0,0.0,,281,,,426.9935151,1,1,1,observed
2016,31170,동구,울산광역시,울산광역시 동구,13.958403265679502,0.0,0.0,1016838000.0,0.0,0.0,1016838000.0,0.0,0.0,,7570,,,881.4438051,1,1,1,observed
2016,31200,북구,울산광역시,울산광역시 북구,13.548238919951906,0.0,0.0,2431608000.0,0.0,0.0,2431608000.0,0.0,0.0,,10856,,,3176.645327,1,1,1,observed
2016,31710,울주군,울산광역시,울산광역시 울주군,13.531612970506831,0.0,0.0,11441016000.0,0.0,0.0,11441016000.0,0.0,0.0,,53813,,,15197.08615,1,1,1,observed
2016,36110,세종시,세종특별자치시,세종특별자치시,,,,,,,,,,,14,,,1192.393473,1,1,0,metropolitan_headquarters
2016,41111,수원시 장안구,경기도,경기도 수원시 장안구,,,,,,,,,,,0,,,85.05865043,1,1,0,city_district_granularity
2016,41113,수원시 권선구,경기도,경기도 수원시 권선구,,,,,,,,,,,0,,,170.4399234,1,1,0,city_district_granularity
2016,41115,수원시 팔달구,경기도,경기도 수원시 팔달구,,,,,,,,,,,0,,,25.61977952,1,1,0,city_district_granularity
2016,41117,수원시 영통구,경기도,경기도 수원시 영통구,,,,,,,,,,,0,,,23.33984101,1,1,0,city_district_granularity
2016,41131,성남시 수정구,경기도,경기도 성남시 수정구,,,,,,,,,,,0,,,69.3369879,1,1,0,city_district_granularity
2016,41133,성남시 중원구,경기도,경기도 성남시 중원구,,,,,,,,,,,113,,,35.30985663,1,1,0,city_district_granularity
2016,41135,성남시 분당구,경기도,경기도 성남시 분당구,,,,,,,,,,,490,,,85.37537914,1,1,0,city_district_granularity
