시군구코드,시도명,소나무류면적_ha,산림면적_ha,소나무류비율
45770,전북,10445.7,34494.9,30.3
41650,경기,10168.8,67725.1,15.0
46780,전남,10164.7,33373.8,30.5
48840,경남,10144.3,22879.1,44.3
46730,전남,10088.7,33124.3,30.5
27710,대구,9829.5,48904.3,20.1
47850,경북,9802.4,29076.3,33.7
44790,충남,9783.2,35400.0,27.6
46900,전남,9737.4,31970.8,30.5
44150,충남,9617.0,65374.8,14.7
48730,경남,9426.0,22236.0,42.4
42800,강원,9409.6,30475.1,30.9
46880,전남,9368.4,30759.3,30.5
50110,제주,9154.8,44677.8,20.5
48220,경남,8922.3,15602.1,57.2
46800,전남,8873.3,29133.7,30.5
46870,전남,8550.9,28075.4,30.5
48125,경남,8124.7,17321.2,46.9
47290,경북,7956.9,22215.3,35.8
46710,전남,7946.8,26091.7,30.5
45800,전북,7545.4,18285.8,41.3
48330,경남,7410.5,34984.0,21.2
45740,전북,7389.8,40814.8,18.1
48250,경남,7335.4,21186.8,34.6
47111,경북,7294.9,25469.7,28.6
45730,전북,7233.3,51378.0,14.1
44810,충남,7085.0,26434.5,26.8
42790,강원,7063.0,50314.3,14.0
46230,전남,6800.7,22328.7,30.5
44800,충남,6694.9,18958.7,35.3
44760,충남,6609.6,33729.5,19.6
44710,충남,6513.6,43306.8,15.0
46170,전남,6422.1,21085.6,30.5
45720,전북,6357.9,62804.9,10.1
44770,충남,6089.1,14819.9,41.1
50130,제주,5782.2,42184.2,13.7
45710,전북,5782.1,59974.2,9.6
46860,전남,5715.2,18764.8,30.5
46810,전남,5689.8,18681.3,30.5
42820,강원,5329.0,20489.8,26.0
43730,충북,5290.8,54292.3,9.7
27140,대구,5161.6,22075.2,23.4
42170,강원,5138.8,16218.8,31.7
26710,부산,5111.9,13177.0,38.8
46840,전남,5104.0,16757.9,30.5
42190,강원,4966.4,30947.4,16.0
28237,인천,4877.8,31151.3,15.7
46830,전남,4531.7,14878.8,30.5
43750,충북,3992.5,33633.4,11.9
41360,경기,3982.7,34645.4,11.5
44230,충남,3772.0,23061.7,16.4
44200,충남,3711.1,21050.9,17.6
31200,울산,3362.8,10212.8,32.9
48127,경남,2858.1,7069.3,40.4
44131,충남,2825.2,28813.5,9.8
48121,경남,2771.0,7255.5,38.2
29200,광주,2700.7,6817.4,39.6
41630,경기,2692.7,21416.9,12.6
28177,인천,2651.2,7886.7,33.6
41550,경기,2640.9,28143.2,9.4
45210,전북,2484.3,8704.6,28.5
27230,대구,2417.8,8796.2,27.5
45140,전북,2361.4,8247.9,28.6
41670,경기,2354.3,31035.4,7.6
41461,경기,2191.3,30138.6,7.3
42210,강원,2171.2,9132.8,23.8
48129,경남,2135.3,8019.4,26.6
41590,경기,2134.7,19193.9,11.1
41610,경기,2117.1,34283.2,6.2
45130,전북,2066.2,7094.4,29.1
26410,부산,1942.7,4274.4,45.4
26350,부산,1686.4,3115.5,54.1
30200,대전,1577.5,12511.0,12.6
36110,세종,1497.0,24750.0,6.0
48123,경남,1458.4,5036.3,29.0
26440,부산,1450.6,3552.8,40.8
29170,광주,1417.1,5568.1,25.5
47720,경북,1300.5,3056.2,42.6
27260,대구,1196.5,7837.2,15.3
30110,대전,1071.6,12005.2,8.9
26320,부산,997.7,2525.1,39.5
27290,대구,972.0,4449.6,21.8
31170,울산,927.9,2004.1,46.3
42780,강원,919.4,8272.8,11.1
44250,충남,915.3,5372.3,17.0
29110,광주,895.8,3926.7,22.8
41800,경기,889.8,12514.9,7.1
31110,울산,847.2,1429.5,59.3
41250,경기,823.1,8901.0,9.2
41480,경기,816.2,9519.0,8.6
26230,부산,668.1,1709.5,39.1
41500,경기,660.6,16744.7,3.9
30140,대전,613.9,5216.8,11.8
26530,부산,604.0,1471.5,41.0
11290,서울,579.6,3547.5,16.3
41220,경기,553.3,5290.0,10.5
44133,충남,543.7,5415.1,10.0
45111,전북,543.1,4623.0,11.7
46110,전남,535.4,1757.8,30.5
31140,울산,521.3,1375.3,37.9
26380,부산,520.7,1314.6,39.6
29155,광주,510.2,1895.7,26.9
11305,서울,400.9,5366.7,7.5
26290,부산,397.3,747.6,53.1
11215,서울,392.7,1104.6,35.6
27200,대구,379.0,1809.0,21.0
26260,부산,368.0,588.7,62.5
41150,경기,348.3,6156.2,5.7
43113,충북,348.2,8197.5,4.2
41463,경기,307.8,3711.7,8.3
11170,서울,303.1,1903.8,15.9
26200,부산,284.6,460.8,61.8
