key,연도,실제예산,시뮬예산,위험지수,Y,Y_bin,시도,시군구,diff
부산광역시북구,2021,10089000.0,237443190.96214876,1.1938876348230676,0.000499875041651,1.0,부산광역시,북구,227354190.96214876
부산광역시사상구,2021,2380000.0,155271207.8039504,0.959934668679754,0.0,0.0,부산광역시,사상구,152891207.8039504
부산광역시사하구,2021,16652000.0,218919553.8231612,0.9875214241481776,0.0001999800026662,1.0,부산광역시,사하구,202267553.8231612
부산광역시서구,2021,1680000.0,197151465.83846924,0.7450097728276307,0.0020977980821461,1.0,부산광역시,서구,195471465.83846924
부산광역시수영구,2021,0.0,206031881.20636082,0.8439437810324044,0.0038924147153438,1.0,부산광역시,수영구,206031881.20636082
부산광역시연제구,2021,0.0,203517137.64656624,0.8159277874475585,0.0,0.0,부산광역시,연제구,203517137.64656624
부산광역시영도구,2021,27937000.0,234974268.8019843,1.16638212352302,0.0088606284321965,1.0,부산광역시,영도구,207037268.8019843
부산광역시중구,2021,0.0,132366012.52879816,0.0232547305507363,0.0,0.0,부산광역시,중구,132366012.52879816
부산광역시해운대구,2021,19968000.0,281121147.54981935,1.6804904722349745,0.0026963615477426,1.0,부산광역시,해운대구,261153147.54981935
서울특별시강남구,2021,0.0,100057297.290523,-0.3366868449330373,0.0,0.0,서울특별시,강남구,100057297.290523
서울특별시강동구,2021,0.0,117819651.04462339,-0.1388018610393747,0.0,0.0,서울특별시,강동구,117819651.04462339
서울특별시강북구,2021,0.0,100002987.77849221,-0.3372918906979321,0.0,0.0,서울특별시,강북구,100002987.77849221
서울특별시강서구,2021,0.0,106017964.05935879,-0.2702808683448121,0.0,0.0,서울특별시,강서구,106017964.05935879
서울특별시관악구,2021,0.0,155103805.4154603,0.2765695694197614,0.0,0.0,서울특별시,관악구,155103805.4154603
서울특별시광진구,2021,0.0,126806642.28495263,-0.0386805234359897,0.0,0.0,서울특별시,광진구,126806642.28495263
서울특별시구로구,2021,0.0,99789340.94954503,-0.3970895368790901,0.0,0.0,서울특별시,구로구,99789340.94954503
서울특별시금천구,2021,0.0,119967613.55214816,-0.1148720636662303,0.0,0.0,서울특별시,금천구,119967613.55214816
서울특별시노원구,2021,0.0,142622321.1650623,0.1375171474236714,0.0,0.0,서울특별시,노원구,142622321.1650623
서울특별시도봉구,2021,0.0,73562174.86527365,-0.6318609500637128,0.0,0.0,서울특별시,도봉구,73562174.86527365
서울특별시동대문구,2021,0.0,104782367.44026819,-0.2840462746897544,0.0,0.0,서울특별시,동대문구,104782367.44026819
서울특별시동작구,2021,0.0,111866214.56637067,-0.2051272871580287,0.0,0.0,서울특별시,동작구,111866214.56637067
서울특별시마포구,2021,0.0,100590583.7355309,-0.3307456627540293,0.0,0.0,서울특별시,마포구,100590583.7355309
