시도,시군구,노출도_점수,기후위험도_점수,지자체대응역량_점수,인위적확산_점수,구조적취약성지수,노출도_점수_기여,기후위험도_점수_기여,지자체대응역량_점수_기여,인위적확산_점수_기여,배분갭,축A_위험요인유형,축B_배분적정성
광주광역시,북구,-0.23938956216174045,0.6677874412241609,0.6820382281501978,0.34719432976964787,0.36440760924556653,-0.059847390540435114,0.16694686030604022,0.17050955703754944,0.08679858244241197,-6.120999017549084,인위적확산-우세형,부족
광주광역시,서구,-1.0950359956039213,0.6677874412241609,-0.4211088195946693,0.4934626494526098,-0.08872368113045498,-0.2737589989009803,0.16694686030604022,-0.10527720489866732,0.12336566236315245,5.922587834672218,인위적확산-우세형,과다
대구광역시,남구,0.36136672404829046,-0.1683225269251228,0.6820382281501978,0.08202519398673568,0.23927690481502528,0.09034168101207261,-0.0420806317312807,0.17050955703754944,0.02050629849668392,-5.834637291601674,복합형,부족
대구광역시,달서구,0.00620143570988231,-0.1683225269251228,-0.3844210939231347,0.7195886919612636,0.04326162670572207,0.0015503589274705775,-0.0420806317312807,-0.09610527348078368,0.1798971729903159,5.255267966056809,인위적확산-우세형,과다
대구광역시,달성군,1.0158825541633916,-0.1683225269251228,-0.43537309964976334,1.588884122383692,0.5002677624930494,0.2539706385408479,-0.0420806317312807,-0.10884327491244083,0.397221030595923,4.715835461552103,인위적확산-우세형,과다
대구광역시,동구,1.5451345194453887,-0.1683225269251228,0.6820382281501978,0.3701578232431489,0.6072520109784032,0.3862836298613472,-0.0420806317312807,0.17050955703754944,0.09253945581078722,-6.67674864217845,노출도-우세형,부족
대구광역시,북구,1.2247655971669986,-0.1683225269251228,-0.43041121687604034,0.03346419852151562,0.16487401297183776,0.30619139929174966,-0.0420806317312807,-0.10760280421901008,0.008366049630378906,5.440703773270195,노출도-우세형,과다
대구광역시,서구,-1.17918263370065,-0.1683225269251228,-0.5890129652517996,0.337224988095645,-0.3998232844454819,-0.2947956584251625,-0.0420806317312807,-0.1472532413129499,0.08430624702391125,8.306258249836873,인위적확산-우세형,과다
대구광역시,수성구,0.12544084867823765,-0.1683225269251228,-0.2939191177023697,1.0760136315618822,0.18480320890315682,0.031360212169559414,-0.0420806317312807,-0.07347977942559243,0.26900340789047056,4.033313218021272,인위적확산-우세형,과다
대전광역시,대덕구,-1.1721911203935698,0.42162400158573443,-0.25956526744284836,-0.039079426575649216,-0.2623029532065832,-0.29304778009839244,0.10540600039643361,-0.06489131686071209,-0.009769856643912304,4.705282789407251,인위적확산-우세형,과다
대전광역시,동구,-0.8580448443779174,0.42162400158573443,0.03481699234479294,-0.5109870147223274,-0.2281477162924294,-0.21451121109447935,0.10540600039643361,0.008704248086198236,-0.12774675368058186,1.7139178768362013,복합형,적정
대전광역시,서구,-0.8083677735264089,0.42162400158573443,-0.194714291411621,-0.11325281810541306,-0.17367772036442716,-0.20209194338160222,0.10540600039643361,-0.04867857285290525,-0.028313204526353265,3.8657035639717146,인위적확산-우세형,과다
대전광역시,유성구,-0.5961315071253268,0.42162400158573443,-0.11371601919428354,0.2290013289645285,-0.014805548942336868,-0.1490328767813317,0.10540600039643361,-0.028429004798570884,0.05725033224113212,2.68743996858164,인위적확산-우세형,적정
대전광역시,중구,-0.7418361896252287,0.42162400158573443,0.6820382281501978,-0.6208847627320224,-0.06476468065532971,-0.18545904740630717,0.10540600039643361,0.17050955703754944,-0.1552211906830056,-5.138837858750185,복합형,부족
부산광역시,강서구,-0.42928519951403765,0.4752134292738865,-0.2011460782480937,1.3272774461194627,0.2930148994078045,-0.10732129987850941,0.11880335731847162,-0.05028651956202342,0.3318193615298657,2.8509791149117643,인위적확산-우세형,적정
부산광역시,금정구,1.5705173065427316,0.5229491802215694,-0.2894062748517507,1.4562849476046809,0.8150862898793078,0.3926293266356829,0.13073729505539236,-0.07235156871293767,0.3640712369011702,2.5372053257964957,복합형,적정
부산광역시,기장군,1.0793321057849306,0.5229491802215694,-0.31490089801242255,1.6879061312698973,0.7438216298159936,0.26983302644623264,0.13073729505539236,-0.07872522450310564,0.4219765328174743,2.953068272991696,인위적확산-우세형,적정
부산광역시,남구,0.2266702542429756,0.1629526111343017,-0.3483979339750369,1.8583313952616412,0.4748890816659704,0.0566675635607439,0.040738152783575426,-0.08709948349375922,0.4645828488154103,3.9012278108491376,인위적확산-우세형,과다
부산광역시,동구,-0.10251881174270588,0.1629526111343017,-0.19010413206509758,0.48814775444761965,0.08961935544352949,-0.02562970293567647,0.040738152783575426,-0.047526033016274394,0.12203693861190491,3.209313797214147,인위적확산-우세형,과다
부산광역시,동래구,0.3395645440866571,0.1629526111343017,-0.18477669329904245,1.0052767910222646,0.33075431323604526,0.08489113602166427,0.040738152783575426,-0.04619417332476061,0.25131919775556616,2.599174339502701,인위적확산-우세형,적정
부산광역시,부산진구,0.028676645092218168,0.1629526111343017,-0.25366902802682,0.740189402722126,0.16953740773045645,0.007169161273054542,0.040738152783575426,-0.063417257006705,0.1850473506805315,3.660783611958795,인위적확산-우세형,과다
부산광역시,북구,0.8836303053000384,0.1629526111343017,-0.06829031797028098,0.8176523518070793,0.4489862375677846,0.2209075763250096,0.040738152783575426,-0.017072579492570246,0.20441308795176982,1.182287881487314,복합형,적정
부산광역시,사상구,0.1820008457379372,0.1629526111343017,-0.1435946557409631,0.8056865257906058,0.2517613317304704,0.0455002114344843,0.040738152783575426,-0.03589866393524078,0.20142163144765146,2.3751924274964527,인위적확산-우세형,적정
부산광역시,사하구,-0.25064555725982113,0.1629526111343017,-0.29548805795128064,1.3218714554559805,0.23467261284479513,-0.06266138931495528,0.040738152783575426,-0.07387201448782016,0.3304678638639951,3.9268927990033804,인위적확산-우세형,과다
부산광역시,서구,-0.0754022880690102,0.1629526111343017,-0.2508047913494809,0.4201722529337421,0.06422944616238817,-0.01885057201725255,0.040738152783575426,-0.06270119783737023,0.10504306323343553,3.878003473329332,복합형,과다
부산광역시,수영구,-0.452283587791958,0.1629526111343017,0.022955430018581024,1.096715528283852,0.20758499541119424,-0.1130708969479895,0.040738152783575426,0.005738857504645256,0.274178882070963,0.8203898865135137,인위적확산-우세형,적정
