연도,시도,시군구,국비지원액_최종_원,log_국비지원액_최종_원,산림면적당_국비지원액_최종(원per ha),log_국비지원액_최종_per_ha,log_국비지원액_직접방제_원,log_국비지원액_예찰진단_원,예찰진단_예산비중,국비비율_최종(%),국비비율_결측_flag,매칭사업수_최종,매칭사업_없음_flag,index_eligible
2023,경기도,안산시,,,,,,,,,1,,,0
2016,경기도,안성시,0.0,0.0,0.0,0.0,0.0,0.0,,,1,0.0,1.0,1
2017,경기도,안성시,375346000.0,19.743358827870317,17511.0,9.7706416392027,19.497793569913014,18.21889499482666,0.2177377672867168,64.39,0,3.0,0.0,1
2018,경기도,안성시,232778000.0,19.265595771933715,10863.2,9.293228259054652,19.22498014034846,16.041754525634673,0.0398018713108627,26.86,0,3.0,0.0,1
2019,경기도,안성시,115925503.0,18.568458335870908,5411.7,8.59650332312921,18.484504985052677,16.049281442081682,0.0805258528832952,23.68,0,4.0,0.0,1
2020,경기도,안성시,125127000.0,18.64483978747978,5843.1,8.67318788429161,18.56734922466763,16.048745680004657,0.0745642427293869,21.08,0,4.0,0.0,1
2021,경기도,안성시,199250000.0,19.11007088065342,9307.4,9.138672497284826,19.063702374361775,16.01584152768606,0.0453099121706399,44.0,0,4.0,0.0,1
2022,경기도,안성시,138593000.0,18.74705214560952,6476.0,8.776012719182917,18.67728228965193,16.0498169172714,0.0673915710028645,48.16,0,4.0,0.0,1
2023,경기도,안성시,94745000.0,18.366699640640498,4428.5,8.396041989852087,18.267226499890747,16.009507822011706,0.0946857353950076,28.52,0,4.0,0.0,1
2016,경기도,안양시,,,,,,,,,1,,,0
2017,경기도,안양시,,,,,,,,,1,,,0
2018,경기도,안양시,,,,,,,,,1,,,0
2019,경기도,안양시,,,,,,,,,1,,,0
2020,경기도,안양시,,,,,,,,,1,,,0
2021,경기도,안양시,,,,,,,,,1,,,0
2022,경기도,안양시,,,,,,,,,1,,,0
2023,경기도,안양시,,,,,,,,,1,,,0
2016,경기도,양주시,,,,,,,,,1,,,0
2017,경기도,양주시,,,,,,,,,1,,,0
2018,경기도,양주시,,,,,,,,,1,,,0
2019,경기도,양주시,,,,,,,,,1,,,0
2020,경기도,양주시,,,,,,,,,1,,,0
2021,경기도,양주시,,,,,,,,,1,,,0
2022,경기도,양주시,,,,,,,,,1,,,0
2023,경기도,양주시,,,,,,,,,1,,,0
2016,경기도,양평군,,,,,,,,,1,,,0
2017,경기도,양평군,,,,,,,,,1,,,0
2018,경기도,양평군,,,,,,,,,1,,,0
2019,경기도,양평군,,,,,,,,,1,,,0
2020,경기도,양평군,,,,,,,,,1,,,0
