연도,시도,시군구,sigungu_cd,stnId,거리_km,겨울철_평균최저기온,여름철_평균기온,연강수량_mm,평균풍속_ms,GDD_솔수염하늘소_base11.9,GDD_북방수염하늘소_base8.3,SPI3_최저월(최심가뭄),SPI3_유효월수,연간관측일수,겨울철_자료완전성
2019,강원특별자치도,원주시,51130,114,3.56,-5.28,24.52,771.9,1.0,1875.1,2648.7,-2.14,12.0,365,True
2020,강원특별자치도,원주시,51130,114,3.56,-2.56,24.63,1317.0,1.06,1753.8,2526.0,-2.25,12.0,366,True
2021,강원특별자치도,원주시,51130,114,3.56,-5.73,24.55,1113.0,1.04,1837.9,2646.0,-1.61,12.0,365,True
2022,강원특별자치도,원주시,51130,114,3.56,-5.96,24.73,1394.0,1.06,1856.5,2656.6,-1.41,12.0,365,True
2023,강원특별자치도,원주시,51130,114,3.56,-6.27,25.23,1391.7,0.99,2006.9,2839.2,-2.05,12.0,365,True
2016,강원특별자치도,인제군,51810,211,8.42,-7.31,22.97,1185.7,1.77,1658.2,2429.4,-1.35,11.0,366,True
2017,강원특별자치도,인제군,51810,211,8.42,-7.21,22.45,1209.3,1.69,1553.6,2301.6,-1.72,12.0,365,True
2018,강원특별자치도,인제군,51810,211,8.42,-10.22,23.3,1214.3,1.8,1501.2,2215.7,-1.12,12.0,365,True
2019,강원특별자치도,인제군,51810,211,8.42,-8.72,22.72,779.3,1.65,1590.8,2314.4,-1.73,12.0,365,True
2020,강원특별자치도,인제군,51810,211,8.42,-4.39,23.21,1429.1,1.57,1529.0,2226.7,-1.97,12.0,366,True
2021,강원특별자치도,인제군,51810,211,8.42,-7.93,23.25,923.0,1.52,1626.4,2376.0,-1.97,12.0,365,True
2022,강원특별자치도,인제군,51810,211,8.42,-8.51,23.31,1497.5,1.45,1626.9,2369.5,-1.33,12.0,365,True
2023,강원특별자치도,인제군,51810,211,8.42,-9.13,24.08,1225.6,1.32,1789.0,2577.2,-0.75,12.0,365,True
2016,강원특별자치도,정선군,51770,217,5.84,-6.2,23.33,1174.2,1.53,1739.2,2520.2,-1.19,11.0,366,True
2017,강원특별자치도,정선군,51770,217,5.84,-6.55,22.61,972.5,1.67,1629.8,2383.0,-2.44,12.0,365,True
2018,강원특별자치도,정선군,51770,217,5.84,-9.12,23.73,1420.9,1.74,1626.0,2361.6,-1.07,12.0,365,True
