연도,시도,시군구,log_피해밀도_본per_ha,log_인접시군_피해밀도_본per_ha,연속발생연수,집단발생여부,소나무류_면적비율(%),최근감염목과의_거리_km,데이터유형,인접시군_산정방식,임상도_기준판
2020,강원도,원주시,0.0023971245997214,0.011533235813673,5,1,12.1504,225.7,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,원주시,0.0025966258472659,0.0160701801774944,6,1,12.1504,110.72,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,원주시,0.004987541511039,0.0010993954433009,7,0,12.1504,215.06,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,원주시,0.0055843782939006,0.034208171329737,8,0,12.1504,225.7,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,인제군,0.0,0.0264471700148482,1,0,16.9344,291.8,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,인제군,0.0,0.0022973590486834,0,0,16.9344,536.44,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,인제군,0.0,0.001199280575482,1,0,16.9344,536.44,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,인제군,0.0,0.0024968801985871,2,0,16.9344,291.8,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,인제군,0.0,0.0184291354683671,3,0,17.7092,291.8,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,인제군,0.0,0.0095542128048116,0,0,17.7092,171.39,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,인제군,0.0,0.0,0,0,17.7092,288.99,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,인제군,0.0,0.0200967016991224,1,0,17.7092,291.8,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,정선군,0.0007996801705643,0.0001999800026662,1,0,21.0709,207.27,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,정선군,0.0003999200213269,0.0,2,0,21.0709,480.36,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,정선군,0.0002999550089979,0.0,3,0,21.0709,480.36,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,정선군,0.0005998200719676,0.0,4,0,21.0709,207.27,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,정선군,0.0002999550089979,0.0,5,0,20.8502,207.27,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,정선군,9.999500033330834e-05,0.0,6,0,20.8502,88.66,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,정선군,9.999500033330834e-05,0.0,7,0,20.8502,208.64,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,정선군,0.0005998200719676,9.999500033330834e-05,8,0,20.8502,207.27,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,철원군,0.0,0.0539198419894304,0,0,0.1956,338.48,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,철원군,0.0,0.0194103935198233,0,0,0.1956,538.42,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,철원군,0.0,0.0167587838149547,0,0,0.1956,538.42,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,철원군,0.0,0.0157749191153622,0,0,0.1956,338.48,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,철원군,0.0,0.0257652078860264,0,0,0.978,338.48,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,철원군,0.0,0.0076705063042197,0,0,0.978,220.66,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,철원군,0.0,0.0341115296287678,0,0,0.978,328.32,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,철원군,0.0,0.0410459694360009,0,0,0.978,338.48,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,춘천시,0.1418467242282363,0.004489905272852,1,0,15.369,290.4,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,춘천시,0.0129162252665463,0.0013990209137073,2,1,15.369,505.2,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,춘천시,0.0058826631581554,0.0003999200213269,3,0,15.369,505.2,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,춘천시,0.0127187724077746,0.0006997551142733,4,0,15.369,290.4,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,춘천시,0.0996643231129453,0.0030952049073024,5,1,15.39,290.4,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,춘천시,0.0535407669280298,0.0010993954433009,6,0,15.39,172.11,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,춘천시,0.0591176044830888,0.0025966258472659,7,0,15.39,281.36,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,춘천시,0.1089440869891791,0.0033942330680155,8,0,15.39,290.4,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,태백시,0.0,0.0001999800026662,0,0,14.754,181.4,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,태백시,0.0,9.999500033330834e-05,0,0,14.754,469.75,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2018,강원도,태백시,0.0,9.999500033330834e-05,0,0,14.754,469.75,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2019,강원도,태백시,0.0,0.0001999800026662,0,0,14.754,181.4,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
2020,강원도,태백시,0.0,9.999500033330834e-05,0,0,14.9785,181.4,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2021,강원도,태백시,0.0,0.0,0,0,14.9785,68.07,실측(원자료 기반),SGIS실제인접,2024년판(2020~2024)
2022,강원도,태백시,0.0,0.0,0,0,14.9785,186.48,실측(원자료 기반),centroid근접(대체),2024년판(2020~2024)
2023,강원도,태백시,0.0,0.0001999800026662,0,0,14.9785,181.4,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2024년판(2020~2024)
2016,강원도,평창군,0.0,0.0023971245997214,0,0,15.8801,231.85,추정(시군구 평균비중 x 국가총량),SGIS실제인접,2019년판(2015~2019)
2017,강원도,평창군,0.0,0.0001999800026662,0,0,15.8801,489.4,실측(원자료 기반),SGIS실제인접,2019년판(2015~2019)
