sgg_cd,pine_ha,forest_ha,pine_ratio,시도명,sido_cd,sido_nm,pine_ha_raw
41287,0.8,88.7,0.9,경기,41,경기,0.7
11060,0.0,0.0,0.0,,11,서울,
11100,0.0,0.0,0.0,,11,서울,
11070,0.0,0.0,0.0,,11,서울,
11010,0.0,0.0,0.0,,11,서울,
11030,0.0,0.0,0.0,,11,서울,
11040,0.0,0.0,0.0,,11,서울,
11080,0.0,0.0,0.0,,11,서울,
11090,0.0,0.0,0.0,,11,서울,
11110,0.0,0.0,0.0,,11,서울,
28010,0.0,0.0,0.0,,28,인천,
11180,0.0,0.0,0.0,,11,서울,
11200,0.0,0.0,0.0,,11,서울,
11120,0.0,0.0,0.0,,11,서울,
11150,0.0,0.0,0.0,,11,서울,
11190,0.0,0.0,0.0,,11,서울,
41130,0.0,0.0,0.0,,41,경기,
11160,0.0,0.0,0.0,,11,서울,
11130,0.0,0.0,0.0,,11,서울,
26110,0.1,0.0,0.0,,26,부산,
27110,0.0,0.0,0.0,,27,대구,
28070,0.0,0.0,0.0,,28,인천,
28060,0.0,0.0,0.0,,28,인천,
28720,0.0,0.0,0.0,,28,인천,
28710,0.0,0.0,0.0,,28,인천,
28030,0.0,0.0,0.0,,28,인천,
28020,0.0,0.0,0.0,,28,인천,
41010,0.0,0.0,0.0,,41,경기,
28040,0.0,0.0,0.0,,28,인천,
41270,0.0,0.0,0.0,,41,경기,
41285,0.0,0.0,0.0,,41,경기,
11210,0.0,0.0,0.0,,11,서울,
41170,0.0,0.0,0.0,,41,경기,
28050,0.0,0.0,0.0,,28,인천,
28080,0.0,0.0,0.0,,28,인천,
11020,0.0,0.0,0.0,,11,서울,
41050,0.0,0.0,0.0,,41,경기,
11050,0.0,0.0,0.0,,11,서울,
41290,0.0,0.0,0.0,,41,경기,
41210,0.0,0.0,0.0,,41,경기,
41190,0.0,0.0,0.0,,41,경기,
41030,0.0,0.0,0.0,,41,경기,
43745,0.0,0.0,0.0,,43,충북,
43720,0.0,0.0,0.0,,43,충북,
43110,0.0,0.0,0.0,,43,충북,
44130,0.0,0.0,0.0,,44,충남,
47110,0.0,0.1,0.0,,47,경북,
